,assembly,n_uniprots,composition,crystal_id
6,7,1.0,Homo,3ktm
7,8,1.0,Homo,3ktm
8,9,1.0,Homo,3ktm
9,10,1.0,Homo,3ktm
10,11,1.0,Homo,3ktm
11,12,1.0,Homo,3ktm
0,1,1.0,Homo,1amb
0,1,2.0,Hetero,3l81
0,1,2.0,Hetero,3jti
0,1,5.0,Hetero,7wvy
0,1,10.0,Homo,8owe
0,1,2.0,Hetero,3dxc
1,2,2.0,Hetero,3dxc
0,1,1.0,Homo,1hz3
0,1,8.0,Homo,8ezd
0,1,2.0,Hetero,8c3h
1,2,2.0,Hetero,8c3h
2,3,1.0,Homo,8c3h
0,1,10.0,Homo,2mxu
0,1,1.0,Homo,5csz
1,2,1.0,Homo,5csz
0,1,6.0,Homo,8otf
0,1,10.0,Homo,8bfb
0,1,10.0,Homo,2mvx
0,1,2.0,Hetero,3dxe
1,2,2.0,Hetero,3dxe
0,1,1.0,Homo,1ba4
0,1,1.0,Homo,2fk2
0,1,10.0,Homo,7q4m
0,1,1.0,Homo,1ba6
0,1,2.0,Hetero,4nge
1,2,2.0,Hetero,4nge
0,1,10.0,Homo,8oln
0,1,1.0,Homo,2m9s
0,1,2.0,Homo,5lfy
0,1,4.0,Hetero,1x11
1,2,4.0,Hetero,1x11
2,3,4.0,Hetero,1x11
0,1,8.0,Homo,2lnq
0,1,10.0,Homo,2mpz
0,1,2.0,Hetero,5amb
1,2,2.0,Hetero,5amb
0,1,1.0,Homo,8azs
0,1,2.0,Homo,1aap
0,1,0.0,Hetero,5myx
1,2,0.0,Hetero,5myx
0,1,0.0,Hetero,3bae
0,1,1.0,Homo,5onq
0,1,10.0,Homo,8ot4
0,1,10.0,Homo,8ovk
0,1,2.0,Homo,3pzz
0,1,10.0,Homo,8sel
0,1,3.0,Homo,7jxo
0,1,5.0,Hetero,8x52
0,1,6.0,Homo,7f29
0,1,1.0,Homo,7ow1
0,1,10.0,Homo,8ot3
0,1,6.0,Homo,6w0o
0,1,0.0,Hetero,2ipu
1,2,0.0,Hetero,2ipu
0,1,1.0,Homo,1ze7
0,1,2.0,Hetero,5am8
1,2,2.0,Hetero,5am8
2,3,2.0,Hetero,5am8
3,4,2.0,Hetero,5am8
0,1,6.0,Homo,8kf4
0,1,0.0,Hetero,8t89
0,1,1.0,Homo,1amc
0,1,1.0,Homo,2lfm
0,1,1.0,Homo,2fk1
0,1,3.0,Hetero,5vzy
0,1,5.0,Homo,8ovm
0,1,4.0,Homo,3ovj
0,1,1.0,Homo,8azt
0,1,2.0,Hetero,3l33
1,2,2.0,Hetero,3l33
2,3,2.0,Hetero,3l33
3,4,2.0,Hetero,3l33
0,1,5.0,Hetero,6iyc
0,1,3.0,Hetero,2r0w
0,1,1.0,Homo,7oxn
0,1,1.0,Homo,5lv0
1,2,1.0,Homo,5lv0
0,1,0.0,Hetero,7e6p
0,1,5.0,Homo,8owd
0,1,2.0,Homo,2lz3
0,1,1.0,Homo,5vos
0,1,4.0,Homo,2y3l
0,1,1.0,Homo,2y2a
0,1,1.0,Homo,3moq
1,2,1.0,Homo,3moq
2,3,1.0,Homo,3moq
3,4,1.0,Homo,3moq
4,5,4.0,Homo,3moq
0,1,2.0,Hetero,5c67
1,2,2.0,Hetero,5c67
0,1,1.0,Homo,1aml
0,1,1.0,Homo,2m9r
0,1,10.0,Homo,8sej
0,1,1.0,Homo,4pwq
1,2,1.0,Homo,4pwq
0,1,1.0,Homo,4xxd
1,2,1.0,Homo,4xxd
0,1,10.0,Homo,8ol2
0,1,0.0,Hetero,5how
1,2,0.0,Hetero,5how
2,3,0.0,Hetero,5how
3,4,0.0,Hetero,5how
4,5,0.0,Hetero,5how
0,1,1.0,Homo,4ong
0,1,10.0,Homo,8ol3
0,1,2.0,Hetero,4mvl
1,2,2.0,Hetero,4mvl
2,3,2.0,Hetero,4mvl
3,4,2.0,Hetero,4mvl
0,1,2.0,Hetero,1zjd
0,1,1.0,Homo,3ifp
1,2,1.0,Homo,3ifp
2,3,1.0,Homo,3ifp
3,4,1.0,Homo,3ifp
0,1,2.0,Hetero,4mvi
0,1,1.0,Homo,3umi
0,1,1.0,Homo,5myo
1,2,0.0,Hetero,5myo
0,1,10.0,Homo,7q4b
0,1,8.0,Homo,6wxm
1,2,2.0,Homo,6wxm
2,3,2.0,Homo,6wxm
3,4,1.0,Homo,6wxm
0,1,1.0,Homo,3q2x
0,1,0.0,Hetero,7y3j
0,1,1.0,Homo,2y29
0,1,1.0,Homo,6yhp
0,1,2.0,Hetero,4mdr
0,1,6.0,Homo,8kew
0,1,1.0,Homo,3nyj
0,1,9.0,Homo,8kf6
0,1,10.0,Homo,8ol6
0,1,1.0,Homo,3jql
0,1,1.0,Homo,3jq5
0,1,1.0,Homo,3mxc
0,1,1.0,Homo,5txd
0,1,1.0,Homo,7wfy
0,1,10.0,Homo,8ff2
0,1,6.0,Homo,2nao
0,1,4.0,Homo,6rhy
0,1,5.0,Homo,8olg
0,1,5.0,Hetero,8x54
0,1,1.0,Homo,2fjz
0,1,1.0,Homo,6yhi
0,1,2.0,Hetero,6gfi
1,2,2.0,Hetero,6gfi
0,1,1.0,Homo,5w3p
0,1,1.0,Homo,7b3k
0,1,4.0,Homo,8bg0
0,1,9.0,Homo,2m4j
0,1,8.0,Homo,7y8q
0,1,1.0,Homo,7b3j
0,1,1.0,Homo,2fma
0,1,8.0,Homo,8eze
0,1,1.0,Homo,2g47
1,2,1.0,Homo,2g47
0,1,2.0,Homo,5buo
0,1,1.0,Homo,4jfn
0,1,1.0,Homo,2lp1
0,1,1.0,Homo,4onf
0,1,10.0,Homo,6oc9
0,1,10.0,Homo,6ti5
0,1,1.0,Homo,2fk3
1,2,1.0,Homo,2fk3
2,3,1.0,Homo,2fk3
3,4,1.0,Homo,2fk3
4,5,1.0,Homo,2fk3
5,6,1.0,Homo,2fk3
6,7,1.0,Homo,2fk3
7,8,1.0,Homo,2fk3
0,1,2.0,Homo,2mgt
0,1,2.0,Hetero,3ayu
0,1,10.0,Homo,6shs
0,1,4.0,Homo,2y3j
1,2,4.0,Homo,2y3j
0,1,1.0,Homo,2llm
0,1,2.0,Homo,2y3k
1,2,2.0,Homo,2y3k
2,3,2.0,Homo,2y3k
3,4,2.0,Homo,2y3k
0,1,0.0,Hetero,5my4
0,1,10.0,Homo,8bfa
0,1,10.0,Homo,8ot1
0,1,10.0,Homo,2lmp
0,1,2.0,Homo,2loh
0,1,2.0,Hetero,3gci
0,1,2.0,Homo,8bfz
0,1,2.0,Hetero,3sv1
1,2,2.0,Hetero,3sv1
2,3,2.0,Hetero,3sv1
0,1,1.0,Homo,3umk
0,1,2.0,Hetero,1taw
0,1,10.0,Homo,8olo
0,1,1.0,Homo,1z0q
0,1,10.0,Homo,9czn
0,1,0.0,Hetero,8h8q
0,1,2.0,Hetero,2wk3
1,2,2.0,Hetero,2wk3
0,1,1.0,Homo,3nyl
0,1,2.0,Homo,6o4j
0,1,5.0,Homo,2beg
0,1,10.0,Homo,2lmq
0,1,1.0,Homo,4pqd
0,1,10.0,Homo,8sek
0,1,1.0,Homo,1qyt
0,1,1.0,Homo,1owt
0,1,2.0,Homo,5aef
0,1,10.0,Homo,6ti7
0,1,4.0,Hetero,1ca0
1,2,4.0,Hetero,1ca0
0,1,5.0,Hetero,8x53
0,1,10.0,Homo,8kf1
0,1,1.0,Homo,3umh
0,1,2.0,Homo,8qn6
0,1,5.0,Homo,8olq
0,1,0.0,Hetero,3bkj
0,1,1.0,Homo,6szf
0,1,10.0,Homo,8owk
0,1,1.0,Homo,1qwp
0,1,1.0,Homo,1iyt
0,1,1.0,Homo,1qcm
0,1,1.0,Homo,1tkn
0,1,1.0,Homo,3mxy
0,1,2.0,Homo,3ow9
0,1,1.0,Homo,3u0t
1,2,1.0,Homo,3u0t
0,1,10.0,Homo,5kk3
0,1,10.0,Homo,6ti6
0,1,1.0,Homo,6yhf
0,1,10.0,Homo,8ol7
0,1,6.0,Homo,8ff3
0,1,10.0,Homo,8owj
