Biomarker_1,Biomarker_2,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
KPYM_TIMP2,NGAL_MMP9,0.92562,0.11111,0.98077,0.49057,0.96296,0.65385,0.17172,0.96154,0.60377,0.94118,0.70423,0.49495,0.82692,0.88679,0.83929,0.87755
AGRIN_PIGR,MMP9_TIMP2,0.92453,0.13131,0.98077,0.50943,0.96429,0.66234,0.15152,0.96154,0.54717,0.93548,0.67568,0.40404,0.90385,0.84906,0.90000,0.85455
AGRIN_PIGR,TIMP2_MMP9,0.92453,0.13131,0.98077,0.50943,0.96429,0.66234,0.15152,0.96154,0.54717,0.93548,0.67568,0.40404,0.90385,0.84906,0.90000,0.85455
MMP9_TIMP2,PIGR_AGRIN,0.92453,0.13131,0.98077,0.50943,0.96429,0.66234,0.15152,0.96154,0.54717,0.93548,0.67568,0.40404,0.90385,0.84906,0.90000,0.85455
TIMP2_MMP9,PIGR_AGRIN,0.92453,0.13131,0.98077,0.50943,0.96429,0.66234,0.15152,0.96154,0.54717,0.93548,0.67568,0.40404,0.90385,0.84906,0.90000,0.85455
AGRIN_PIGR,TIMP2_PERM,0.92417,0.11111,0.98077,0.45283,0.96000,0.63750,0.17172,0.96154,0.60377,0.94118,0.70423,0.59596,0.84615,0.90566,0.85714,0.89796
AGRIN_PIGR,PERM_TIMP2,0.92417,0.11111,0.98077,0.45283,0.96000,0.63750,0.17172,0.96154,0.60377,0.94118,0.70423,0.59596,0.84615,0.90566,0.85714,0.89796
MMP9_TIMP2,KPYM_PIGR,0.92417,0.12121,0.98077,0.54717,0.96667,0.68000,0.25253,0.96154,0.75472,0.95238,0.79365,0.25253,0.96154,0.75472,0.95238,0.79365
MMP9_TIMP2,PIGR_KPYM,0.92417,0.12121,0.98077,0.54717,0.96667,0.68000,0.25253,0.96154,0.75472,0.95238,0.79365,0.25253,0.96154,0.75472,0.95238,0.79365
TIMP2_MMP9,KPYM_PIGR,0.92417,0.12121,0.98077,0.54717,0.96667,0.68000,0.25253,0.96154,0.75472,0.95238,0.79365,0.25253,0.96154,0.75472,0.95238,0.79365
TIMP2_MMP9,PIGR_KPYM,0.92417,0.12121,0.98077,0.54717,0.96667,0.68000,0.25253,0.96154,0.75472,0.95238,0.79365,0.25253,0.96154,0.75472,0.95238,0.79365
TIMP2_PERM,PIGR_AGRIN,0.92417,0.11111,0.98077,0.45283,0.96000,0.63750,0.17172,0.96154,0.60377,0.94118,0.70423,0.59596,0.84615,0.90566,0.85714,0.89796
TIMP2_CLIC1,PERM_NGAL,0.92417,0.21212,0.98077,0.64151,0.97143,0.72857,0.21212,0.98077,0.64151,0.97143,0.72857,0.45455,0.86538,0.84906,0.86538,0.84906
TIMP2_CLIC1,NGAL_PERM,0.92417,0.21212,0.98077,0.64151,0.97143,0.72857,0.21212,0.98077,0.64151,0.97143,0.72857,0.45455,0.86538,0.84906,0.86538,0.84906
PERM_TIMP2,PIGR_AGRIN,0.92417,0.11111,0.98077,0.45283,0.96000,0.63750,0.17172,0.96154,0.60377,0.94118,0.70423,0.59596,0.84615,0.90566,0.85714,0.89796
PERM_NGAL,CLIC1_TIMP2,0.92417,0.21212,0.98077,0.64151,0.97143,0.72857,0.21212,0.98077,0.64151,0.97143,0.72857,0.45455,0.86538,0.84906,0.86538,0.84906
NGAL_PERM,CLIC1_TIMP2,0.92417,0.21212,0.98077,0.64151,0.97143,0.72857,0.21212,0.98077,0.64151,0.97143,0.72857,0.45455,0.86538,0.84906,0.86538,0.84906
Endometrial_thickness,MMP9_NGAL,0.92382,0.15152,0.98077,0.59615,0.96875,0.70833,0.21212,0.96154,0.61538,0.94118,0.71429,0.43434,0.88462,0.86538,0.88235,0.86792
Endometrial_thickness,NGAL_MMP9,0.92382,0.15152,0.98077,0.59615,0.96875,0.70833,0.21212,0.96154,0.61538,0.94118,0.71429,0.43434,0.88462,0.86538,0.88235,0.86792
TIMP2_PERM,PERM_CLIC1,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
TIMP2_PERM,CLIC1_TIMP2,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
TIMP2_PERM,CLIC1_PERM,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
