Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
TFR1_HUMAN,0.896,0.904,0.83,0.962,0.528,1.298,0.0,52,53,105
FEN1_HUMAN,0.896,0.808,0.906,0.962,0.358,1.462,0.0,52,53,105
HBB_HUMAN,0.896,0.808,0.887,0.962,0.509,-1.671,0.0,52,53,105
IF4G1_HUMAN,0.896,0.865,0.906,0.962,0.151,1.317,0.0,52,53,105
CYBR1_HUMAN,0.896,0.769,0.925,0.962,0.415,-2.216,0.0,52,53,105
AACS_HUMAN,0.895,0.904,0.792,0.962,0.189,1.496,0.0,52,53,105
CASP6_HUMAN,0.894,0.846,0.925,0.962,0.132,1.626,0.0,52,53,105
TWF1_HUMAN,0.894,0.808,0.906,0.962,0.358,1.115,0.0,52,53,105
MYLK_HUMAN,0.894,0.75,0.906,0.962,0.472,-1.678,0.0,52,53,105
LRRF1_HUMAN,0.894,0.865,0.792,0.962,0.415,1.274,0.0,52,53,105
CAH1_HUMAN,0.893,0.846,0.868,0.962,0.509,-1.935,0.0,52,53,105
ERF3A_HUMAN,0.893,0.808,0.943,0.962,0.189,1.114,0.0,52,53,105
KLC2_HUMAN,0.893,0.808,0.943,0.981,0.132,1.171,0.0,52,53,105
PPIP2_HUMAN,0.893,0.808,0.849,0.962,0.509,1.026,0.0,52,53,105
EF1D_HUMAN,0.892,0.75,0.962,0.962,0.264,1.327,0.0,52,53,105
COIA1_HUMAN,0.892,0.712,0.981,0.962,0.547,1.485,0.0,52,53,105
LACB2_HUMAN,0.892,0.808,0.906,0.962,0.132,1.125,0.0,52,53,105
HS105_HUMAN,0.892,0.827,0.962,0.981,0.113,1.434,0.0,52,53,105
SYAP1_HUMAN,0.892,0.788,0.868,0.962,0.358,1.495,0.0,52,53,105
SYCC_HUMAN,0.891,0.808,0.925,0.962,0.302,1.151,0.0,52,53,105
UAP1_HUMAN,0.891,0.692,0.943,0.962,0.528,1.188,0.0,52,53,105
HBB_BOVIN,0.89,0.923,0.736,0.962,0.302,-2.41,0.0,52,53,105
LRP1_HUMAN,0.89,0.75,0.906,0.981,0.434,-1.29,0.0,52,53,105
NEUL_HUMAN,0.89,0.846,0.83,0.962,0.245,1.057,0.0,52,53,105
CD248_HUMAN,0.89,0.865,0.811,0.962,0.472,-1.38,0.0,52,53,105
H2AV_HUMAN;H2AZ_HUMAN,0.889,0.846,0.849,0.962,0.396,1.972,0.0,52,53,105
ANK1_HUMAN,0.889,0.923,0.698,0.981,0.528,-2.138,0.0,52,53,105
PSME3_HUMAN,0.889,0.827,0.906,0.962,0.226,1.38,0.0,52,53,105
ISG15_HUMAN,0.888,0.827,0.868,0.962,0.151,1.839,0.0,52,53,105
TAGL2_HUMAN,0.888,0.827,0.849,0.962,0.264,1.166,0.0,52,53,105
5MP1_HUMAN,0.887,0.808,0.943,0.981,0.113,1.313,0.0,52,53,105
CATA_HUMAN,0.886,0.827,0.887,0.962,0.623,-1.522,0.0,52,53,105
RS27_HUMAN,0.886,0.865,0.868,0.962,0.264,1.308,0.0,52,53,105
HBA_HUMAN,0.885,0.942,0.736,0.962,0.509,-1.716,0.0,52,53,105
MCM6_HUMAN,0.885,0.846,0.83,0.962,0.151,1.813,0.0,52,53,105
PPCS_HUMAN,0.885,0.769,0.925,0.962,0.151,1.139,0.0,52,53,105
TIGAR_HUMAN,0.885,0.885,0.792,0.962,0.264,1.236,0.0,52,53,105
SPTB1_HUMAN,0.884,0.788,0.849,0.962,0.528,-2.235,0.0,52,53,105
IF2G_HUMAN,0.884,0.788,0.943,0.962,0.283,1.392,0.0,52,53,105
MFAP4_HUMAN,0.884,0.712,0.981,0.962,0.415,-2.002,0.0,52,53,105
EF1A2_HUMAN,0.884,0.865,0.868,0.962,0.113,0.943,0.0,52,53,105
PDXD1_HUMAN,0.884,0.788,0.887,0.962,0.226,1.426,0.0,52,53,105
KBP_HUMAN,0.884,0.788,0.962,0.981,0.189,1.19,0.0,52,53,105
PRRC1_HUMAN,0.884,0.827,0.887,0.981,0.264,1.071,0.0,52,53,105
AGM1_HUMAN,0.883,0.827,0.811,0.962,0.396,1.111,0.0,52,53,105
B3AT_HUMAN,0.882,0.808,0.774,0.962,0.528,-2.513,0.0,52,53,105
SEM4B_HUMAN,0.882,0.75,0.943,0.962,0.434,1.431,0.0,52,53,105
HIP1R_HUMAN,0.881,0.769,0.906,0.981,0.264,0.928,0.0,52,53,105
IF2B_HUMAN,0.881,0.808,0.887,0.962,0.226,1.17,0.0,52,53,105
ENAH_HUMAN,0.881,0.808,0.906,0.962,0.321,1.327,0.0,52,53,105
MTND_HUMAN,0.881,0.827,0.849,0.962,0.17,1.336,0.0,52,53,105
IF2A_HUMAN,0.88,0.827,0.868,0.962,0.34,1.271,0.0,52,53,105
MCM3_HUMAN,0.879,0.75,0.925,0.962,0.226,1.655,0.0,52,53,105
EF1A1_HUMAN,0.879,0.827,0.943,0.962,0.113,0.973,0.0,52,53,105
MAP7_HUMAN,0.878,0.808,0.849,0.962,0.208,1.543,0.0,52,53,105
SCYL2_HUMAN,0.878,0.865,0.887,0.962,0.245,1.174,0.0,52,53,105
MCM2_HUMAN,0.877,0.846,0.83,0.962,0.113,1.825,0.0,52,53,105
CAH2_HUMAN,0.876,0.808,0.887,0.962,0.566,-1.853,0.0,52,53,105
PMGE_HUMAN,0.876,0.885,0.755,0.962,0.528,-1.721,0.0,52,53,105
HS90B_HUMAN,0.876,0.769,0.925,0.962,0.132,0.944,0.0,52,53,105
PABP1_HUMAN,0.876,0.808,0.906,0.962,0.17,1.062,0.0,52,53,105
KPYM_HUMAN,0.876,0.923,0.679,0.962,0.415,0.963,0.0,52,53,105
PUR6_HUMAN,0.876,0.808,0.887,0.962,0.113,0.985,0.0,52,53,105
IPO4_HUMAN,0.876,0.769,0.962,0.962,0.038,1.174,0.0,52,53,105
CBPQ_HUMAN,0.876,0.885,0.792,0.962,0.453,-1.204,0.0,52,53,105
PYRG1_HUMAN,0.875,0.827,0.925,0.981,0.094,1.199,0.0,52,53,105
DNJC2_HUMAN,0.875,0.846,0.849,0.962,0.226,1.221,0.0,52,53,105
PAIP1_HUMAN,0.875,0.808,0.849,0.981,0.113,1.001,0.0,52,53,105
AHSP_HUMAN,0.875,0.904,0.755,0.962,0.491,-2.325,0.0,52,53,105
4F2_HUMAN,0.874,0.788,0.83,0.962,0.358,0.876,0.0,52,53,105
BLVRB_HUMAN,0.874,0.885,0.849,0.962,0.34,-1.562,0.0,52,53,105
PLSI_HUMAN,0.874,0.712,0.906,0.962,0.453,1.205,0.0,52,53,105
TENS1_HUMAN,0.874,0.846,0.811,0.962,0.585,-1.469,0.0,52,53,105
CHRD1_HUMAN,0.874,0.769,0.962,0.962,0.17,1.103,0.0,52,53,105
IREB2_HUMAN,0.872,0.788,0.906,0.962,0.17,1.214,0.0,52,53,105
FBP1L_HUMAN,0.872,0.788,0.906,0.962,0.17,1.129,0.0,52,53,105
SYNC_HUMAN,0.871,0.75,0.925,0.962,0.189,1.17,0.0,52,53,105
DNJC7_HUMAN,0.871,0.827,0.906,0.962,0.113,1.285,0.0,52,53,105
TCTP_HUMAN,0.87,0.635,0.962,0.962,0.491,1.124,0.0,52,53,105
5NTC_HUMAN,0.87,0.827,0.774,0.962,0.547,1.11,0.0,52,53,105
ZO2_HUMAN,0.87,0.885,0.792,0.962,0.113,1.114,0.0,52,53,105
G3P_HUMAN,0.869,0.673,0.962,0.962,0.245,0.831,0.0,52,53,105
SYUA_HUMAN,0.869,0.865,0.792,0.962,0.264,-1.956,0.0,52,53,105
NAA25_HUMAN,0.869,0.808,0.925,0.962,0.189,0.917,0.0,52,53,105
TMOD3_HUMAN,0.869,0.769,0.849,0.981,0.34,1.121,0.0,52,53,105
NDKA_HUMAN,0.868,0.654,1.0,0.962,0.113,0.935,0.0,52,53,105
SERB_HUMAN,0.868,0.827,0.849,0.962,0.151,1.208,0.0,52,53,105
5MP2_HUMAN,0.868,0.827,0.906,0.962,0.189,1.089,0.0,52,53,105
NB5R3_HUMAN,0.867,0.904,0.811,0.962,0.566,-1.49,0.0,52,53,105
SHOT1_HUMAN,0.866,0.731,0.943,0.962,0.17,1.335,0.0,52,53,105
HS90A_HUMAN,0.866,0.808,0.906,0.962,0.189,0.788,0.0,52,53,105
KPCA_HUMAN,0.866,0.885,0.736,0.962,0.547,-1.465,0.0,52,53,105
HEM2_HUMAN,0.866,0.923,0.698,0.962,0.642,-1.251,0.0,52,53,105
TCPQ_HUMAN,0.866,0.692,0.962,0.962,0.208,1.071,0.0,52,53,105
TCPB_HUMAN,0.866,0.769,0.906,0.981,0.094,1.076,0.0,52,53,105
CADH3_HUMAN,0.865,0.712,0.943,0.962,0.264,1.948,0.0,52,53,105
TCPE_HUMAN,0.865,0.692,0.981,0.962,0.094,1.079,0.0,52,53,105
AKA12_HUMAN,0.865,0.846,0.774,0.962,0.415,-1.798,0.0,52,53,105
PDCL3_HUMAN,0.865,0.788,0.906,0.962,0.132,1.325,0.0,52,53,105
ERF3B_HUMAN,0.864,0.788,0.906,0.981,0.057,0.923,0.0,52,53,105
OLFL3_HUMAN,0.864,0.865,0.755,0.962,0.396,-1.435,0.0,52,53,105
GLRX3_HUMAN,0.863,0.788,0.943,0.981,0.057,0.903,0.0,52,53,105
PGK1_HUMAN,0.863,0.712,0.925,0.962,0.208,0.796,0.0,52,53,105
SRA1_HUMAN,0.863,0.692,0.887,0.962,0.321,1.073,0.0,52,53,105
RPAB3_HUMAN,0.862,0.808,0.811,0.962,0.17,1.093,0.0,52,53,105
PAK1_HUMAN,0.862,0.673,0.943,0.962,0.377,1.153,0.0,52,53,105
CSTN1_HUMAN,0.861,0.788,0.906,0.981,0.113,1.191,0.0,52,53,105
MCM5_HUMAN,0.861,0.769,0.887,0.962,0.245,1.598,0.0,52,53,105
LRBA_HUMAN,0.861,0.75,0.962,0.962,0.226,0.956,0.0,52,53,105
TPMT_HUMAN,0.86,0.769,0.849,0.962,0.151,1.072,0.0,52,53,105
CPIN1_HUMAN,0.86,0.846,0.849,0.981,0.113,1.103,0.0,52,53,105
NUDT5_HUMAN,0.86,0.692,0.906,0.962,0.226,1.119,0.0,52,53,105
TCPD_HUMAN,0.859,0.731,0.943,0.962,0.189,1.105,0.0,52,53,105
TPD52_HUMAN,0.859,0.692,0.943,0.962,0.17,1.445,0.0,52,53,105
CKAP5_HUMAN,0.859,0.769,0.906,0.962,0.189,1.152,0.0,52,53,105
PXL2A_HUMAN,0.859,0.808,0.811,0.981,0.415,-1.864,0.0,52,53,105
PTN12_HUMAN,0.858,0.827,0.792,0.962,0.151,0.929,0.0,52,53,105
CAPR1_HUMAN,0.858,0.769,0.906,0.962,0.189,1.263,0.0,52,53,105
TOM34_HUMAN,0.858,0.769,0.925,0.962,0.113,1.383,0.0,52,53,105
STAU1_HUMAN,0.857,0.827,0.849,0.981,0.132,1.165,0.0,52,53,105
CAH3_HUMAN,0.857,0.788,0.849,0.962,0.396,-2.059,0.0,52,53,105
TCPG_HUMAN,0.857,0.75,0.868,0.962,0.17,1.097,0.0,52,53,105
COEA1_HUMAN,0.857,0.712,0.868,0.962,0.377,-1.839,0.0,52,53,105
H2A2B_HUMAN,0.857,0.846,0.755,0.962,0.472,2.418,0.0,52,53,105
EF1G_HUMAN,0.856,0.808,0.849,0.981,0.189,1.024,0.0,52,53,105
NAA10_HUMAN,0.856,0.865,0.755,0.962,0.189,0.998,0.0,52,53,105
SYQ_HUMAN,0.856,0.808,0.906,0.981,0.151,1.241,0.0,52,53,105
CO6A2_HUMAN,0.855,0.769,0.887,0.962,0.019,-1.044,0.0,52,53,105
CYRIB_HUMAN,0.855,0.865,0.736,0.962,0.396,0.862,0.0,52,53,105
CEP43_HUMAN,0.854,0.769,0.906,0.962,0.17,1.135,0.0,52,53,105
EF1B_HUMAN,0.854,0.827,0.83,0.962,0.208,1.111,0.0,52,53,105
DSG2_HUMAN,0.854,0.731,0.906,1.0,0.019,1.104,0.0,52,53,105
IF2P_HUMAN,0.853,0.788,0.906,0.962,0.189,1.118,0.0,52,53,105
ERF1_HUMAN,0.852,0.788,0.925,1.0,0.113,0.878,0.0,52,53,105
H2A2A_HUMAN;H2A2C_HUMAN,0.852,0.731,0.887,0.962,0.509,2.276,0.0,52,53,105
PUR2_HUMAN,0.851,0.788,0.887,0.981,0.094,0.95,0.0,52,53,105
SERC_HUMAN,0.851,0.75,0.868,0.981,0.151,1.718,0.0,52,53,105
GSK3B_HUMAN,0.85,0.769,0.887,0.981,0.113,0.896,0.0,52,53,105
NAA15_HUMAN,0.85,0.769,0.887,0.962,0.208,1.007,0.0,52,53,105
G3BP2_HUMAN,0.85,0.788,0.83,0.981,0.17,0.966,0.0,52,53,105
DHE3_HUMAN,0.849,0.904,0.698,0.981,0.396,-1.549,0.0,52,53,105
HMGB2_HUMAN,0.849,0.788,0.755,0.962,0.189,1.201,0.0,52,53,105
KINH_HUMAN,0.849,0.75,0.925,0.981,0.132,0.937,0.0,52,53,105
LMNB2_HUMAN,0.849,0.827,0.755,0.962,0.528,-1.421,0.0,52,53,105
IF4G3_HUMAN,0.848,0.865,0.774,0.962,0.17,0.978,0.0,52,53,105
PPM1B_HUMAN,0.848,0.808,0.83,0.981,0.113,0.905,0.0,52,53,105
TCPA_HUMAN,0.848,0.635,0.981,0.981,0.132,1.135,0.0,52,53,105
SCYL1_HUMAN,0.848,0.75,0.906,0.962,0.226,0.887,0.0,52,53,105
TCPH_HUMAN,0.848,0.712,0.906,0.962,0.189,1.081,0.0,52,53,105
EMAL4_HUMAN,0.848,0.808,0.792,0.981,0.17,0.942,0.0,52,53,105
BSDC1_HUMAN,0.848,0.731,0.868,0.962,0.132,0.978,0.0,52,53,105
ARPC5_HUMAN,0.847,0.808,0.792,0.962,0.17,0.786,0.0,52,53,105
RIR1_HUMAN,0.847,0.769,0.906,0.981,0.094,1.292,0.0,52,53,105
PUR1_HUMAN,0.847,0.808,0.811,0.962,0.113,1.089,0.0,52,53,105
OTU1_HUMAN,0.847,0.865,0.792,0.962,0.472,-1.326,0.0,52,53,105
EF2_HUMAN,0.846,0.865,0.792,0.981,0.113,0.772,0.0,52,53,105
RS12_HUMAN,0.846,0.769,0.868,0.962,0.075,0.946,0.0,52,53,105
6PGD_HUMAN,0.846,0.673,0.906,0.962,0.245,0.809,0.0,52,53,105
RIDA_HUMAN,0.846,0.692,0.887,0.962,0.17,1.096,0.0,52,53,105
PEBB_HUMAN,0.846,0.827,0.755,0.962,0.321,1.11,0.0,52,53,105
USO1_HUMAN,0.845,0.769,0.849,0.962,0.245,0.874,0.0,52,53,105
IPO7_HUMAN,0.845,0.827,0.83,0.962,0.113,0.84,0.0,52,53,105
PABP4_HUMAN,0.845,0.808,0.811,0.981,0.113,0.889,0.0,52,53,105
FAD1_HUMAN,0.845,0.712,0.943,0.981,0.057,0.867,0.0,52,53,105
5NT3A_HUMAN,0.845,0.788,0.811,0.962,0.17,1.129,0.0,52,53,105
LMNA_HUMAN,0.844,0.808,0.774,0.962,0.472,-1.398,0.0,52,53,105
AMPL_HUMAN,0.844,0.712,0.981,0.962,0.151,1.089,0.0,52,53,105
KCD12_HUMAN,0.844,0.808,0.811,0.962,0.264,-1.229,0.0,52,53,105
LAMA5_HUMAN,0.843,0.712,0.906,0.962,0.019,1.342,0.0,52,53,105
H2B1D_HUMAN;H2B1H_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN,0.843,0.788,0.811,0.962,0.377,2.303,0.0,52,53,105
AIMP1_HUMAN,0.843,0.846,0.774,0.962,0.245,1.188,0.0,52,53,105
SC23B_HUMAN,0.843,0.75,0.887,0.962,0.208,1.012,0.0,52,53,105
PACN2_HUMAN,0.843,0.635,0.925,0.962,0.302,1.014,0.0,52,53,105
NT5D1_HUMAN,0.842,0.75,0.868,0.962,0.132,0.968,0.0,52,53,105
UMPS_HUMAN,0.842,0.712,0.906,0.962,0.113,0.869,0.0,52,53,105
TCPZ_HUMAN,0.842,0.635,0.981,0.962,0.151,1.06,0.0,52,53,105
ARC1B_HUMAN,0.841,0.769,0.849,0.962,0.226,0.764,0.0,52,53,105
GDS1_HUMAN,0.841,0.808,0.811,0.962,0.094,0.975,0.0,52,53,105
HSP7E_HUMAN,0.841,0.673,0.962,0.962,0.094,0.894,0.0,52,53,105
FLNC_HUMAN,0.841,0.75,0.887,0.962,0.019,-1.209,0.0,52,53,105
EM55_HUMAN,0.841,0.904,0.679,0.962,0.453,-1.074,0.0,52,53,105
GGH_HUMAN,0.841,0.808,0.755,0.962,0.358,0.922,0.0,52,53,105
RBBP7_HUMAN,0.84,0.788,0.83,0.962,0.17,1.095,0.0,52,53,105
MARE1_HUMAN,0.84,0.788,0.811,0.981,0.132,0.758,0.0,52,53,105
CCD43_HUMAN,0.84,0.808,0.774,0.962,0.17,1.083,0.0,52,53,105
TXD17_HUMAN,0.84,0.673,0.887,0.962,0.226,0.962,0.0,52,53,105
LAMB1_HUMAN,0.839,0.75,0.83,0.962,0.208,1.32,0.0,52,53,105
ANXA5_HUMAN,0.839,0.692,0.887,0.962,0.472,-1.501,0.0,52,53,105
KTHY_HUMAN,0.839,0.673,0.962,0.981,0.057,1.019,0.0,52,53,105
DCK_HUMAN,0.839,0.769,0.849,0.962,0.113,1.145,0.0,52,53,105
RAB25_HUMAN,0.839,0.596,0.981,0.962,0.17,1.006,0.0,52,53,105
DNJC9_HUMAN,0.839,0.865,0.736,0.962,0.113,1.04,0.0,52,53,105
M3K20_HUMAN,0.839,0.904,0.679,0.962,0.377,-1.215,0.0,52,53,105
STAT1_HUMAN,0.838,0.846,0.774,1.0,0.094,1.349,0.0,52,53,105
PLCD1_HUMAN,0.838,0.712,0.868,0.962,0.509,-1.045,0.0,52,53,105
DYLT1_HUMAN,0.838,0.808,0.792,0.962,0.113,0.994,0.0,52,53,105
TBCE_HUMAN,0.838,0.769,0.849,1.0,0.075,0.948,0.0,52,53,105
SYEP_HUMAN,0.837,0.75,0.868,0.962,0.245,1.211,0.0,52,53,105
DNMT1_HUMAN,0.837,0.712,0.925,0.962,0.17,1.076,0.0,52,53,105
AHSA1_HUMAN,0.837,0.769,0.868,0.962,0.113,0.841,0.0,52,53,105
SUMO1_HUMAN,0.837,0.731,0.906,0.962,0.245,1.042,0.0,52,53,105
RHEB_HUMAN,0.837,0.769,0.849,0.962,0.151,0.919,0.0,52,53,105
FKBP3_HUMAN,0.837,0.731,0.868,0.962,0.226,1.008,0.0,52,53,105
BIRC6_HUMAN,0.837,0.769,0.906,0.962,0.075,0.82,0.0,52,53,105
TPM3_HUMAN,0.836,0.615,0.943,0.962,0.151,0.671,0.0,52,53,105
HSP7C_HUMAN,0.836,0.808,0.811,0.962,0.132,0.693,0.0,52,53,105
TGM2_HUMAN,0.836,0.692,0.906,0.962,0.415,-1.766,0.0,52,53,105
YBOX1_HUMAN,0.836,0.769,0.849,0.962,0.189,1.099,0.0,52,53,105
ARHG2_HUMAN,0.836,0.75,0.906,0.962,0.283,0.94,0.0,52,53,105
STRBP_HUMAN,0.836,0.731,0.981,0.962,0.094,0.957,0.0,52,53,105
FBLN5_HUMAN,0.836,0.75,0.774,0.981,0.321,-1.359,0.0,52,53,105
PROF1_HUMAN,0.835,0.865,0.642,0.962,0.283,0.669,0.0,52,53,105
SYMC_HUMAN,0.835,0.712,0.906,0.962,0.113,1.167,0.0,52,53,105
DEMA_HUMAN,0.835,0.885,0.792,0.962,0.434,-1.338,0.0,52,53,105
SERB1_HUMAN,0.835,0.808,0.811,0.981,0.094,1.058,0.0,52,53,105
H2B1A_HUMAN,0.835,0.808,0.755,0.962,0.264,2.004,0.0,52,53,105
EGLN1_HUMAN,0.835,0.673,0.906,0.962,0.132,0.928,0.0,52,53,105
TYPH_HUMAN,0.834,0.788,0.736,0.962,0.415,1.253,0.0,52,53,105
AT2B1_HUMAN,0.834,0.904,0.717,0.962,0.491,-1.188,0.0,52,53,105
PAK2_HUMAN,0.834,0.673,0.962,0.962,0.151,0.919,0.0,52,53,105
DX39A_HUMAN,0.833,0.788,0.868,1.0,0.019,0.974,0.0,52,53,105
ENDD1_HUMAN,0.833,0.808,0.811,0.962,0.264,-0.969,0.0,52,53,105
PCNA_HUMAN,0.833,0.635,0.981,0.962,0.113,1.186,0.0,52,53,105
CAD13_HUMAN,0.833,0.865,0.792,0.962,0.283,-0.929,0.0,52,53,105
PFKAP_HUMAN,0.833,0.654,0.943,0.962,0.189,1.192,0.0,52,53,105
DIAP1_HUMAN,0.832,0.731,0.962,0.981,0.151,0.881,0.0,52,53,105
FLII_HUMAN,0.832,0.654,0.943,0.962,0.094,0.863,0.0,52,53,105
TCAL5_HUMAN,0.832,0.808,0.811,0.962,0.396,-1.115,0.0,52,53,105
DC1L1_HUMAN,0.832,0.846,0.792,0.962,0.151,0.871,0.0,52,53,105
GSK3A_HUMAN,0.831,0.75,0.906,0.981,0.132,0.799,0.0,52,53,105
HBG1_HUMAN,0.831,0.692,0.83,0.962,0.377,-2.416,0.0,52,53,105
LAMC1_HUMAN,0.83,0.712,0.849,0.962,0.094,1.247,0.0,52,53,105
PPT1_HUMAN,0.83,0.846,0.774,0.962,0.094,-0.985,0.0,52,53,105
IF4G2_HUMAN,0.83,0.75,0.849,1.0,0.113,0.897,0.0,52,53,105
ARF1_HUMAN;ARF3_HUMAN,0.83,0.75,0.849,0.962,0.189,0.748,0.0,52,53,105
EIF2A_HUMAN,0.83,0.75,0.849,0.962,0.151,0.886,0.0,52,53,105
DDX3X_HUMAN,0.829,0.808,0.811,0.962,0.113,0.799,0.0,52,53,105
PSMG1_HUMAN,0.829,0.692,0.925,0.981,0.057,0.881,0.0,52,53,105
G3BP1_HUMAN,0.829,0.788,0.849,0.981,0.113,0.958,0.0,52,53,105
HP1B3_HUMAN,0.829,0.865,0.698,0.962,0.321,-1.274,0.0,52,53,105
COF1_HUMAN,0.828,0.692,0.906,0.962,0.208,0.682,0.0,52,53,105
GSDMD_HUMAN,0.828,0.692,1.0,0.962,0.075,1.035,0.0,52,53,105
SYK_HUMAN,0.828,0.769,0.792,0.962,0.189,1.084,0.0,52,53,105
ADSSP_HUMAN,0.828,0.846,0.698,0.962,0.302,-0.976,0.0,52,53,105
SH24A_HUMAN,0.828,0.75,0.849,0.962,0.132,0.993,0.0,52,53,105
DLGP4_HUMAN,0.828,0.788,0.83,0.962,0.113,0.936,0.0,52,53,105
