Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
SMPDL3B_2,0.58947,0.98238,0.06569,0.69231,0.63533,0.50505
GOLM1_0,0.58942,0.95726,0.0274,0.28571,0.61202,0.57576
LGALS3_1,0.58867,0.99573,0.01361,0.66667,0.6164,0.50505
SLC2A1_0,0.58839,1.0,0.03704,1.0,0.78862,0.50505
SORT1,0.58766,0.99123,0.07092,0.83333,0.63305,0.50505
PRPF31_0,0.58675,0.98378,0.05941,0.66667,0.65704,0.50505
MLEC_1,0.58646,0,0,0,0,0.5
RUVBL1_1,0.58636,0,0,0,0,0.5
ALDOC_2,0.58533,0.95045,0.09924,0.54167,0.64134,0.52525
PFDN6_1,0.58508,0,0,0,0,0.5
UBR4_2,0.58439,0,0,0,0,0.5
CLDN6_0,0.58395,0,0,0,0,0.5
GOLM1_1,0.5828,0.95745,0.06849,0.5,0.62327,0.50505
TANGO2_0,0.58276,0.96552,0.09677,0.54545,0.71429,0.55556
IGFBP7_2,0.58201,0.97619,0.07407,0.66667,0.62121,0.45455
KLK11_1,0.581,0.96491,0.08276,0.6,0.62323,0.46465
ANXA4_1,0.5808,0.96581,0.0411,0.42857,0.61749,0.50505
PDE12_0,0.58056,0.96847,0.05785,0.5,0.6535,0.50505
MUC1_1,0.58023,0,0,0,0,0.5
VAC14_1,0.5763,0,0,0,0,0.5
RPRD1B_2,0.57557,0,0,0,0,0.5
UCHL1_0,0.57425,0.97447,0.04795,0.53846,0.62228,0.50505
FN1_2,0.57419,0.99574,0.02055,0.75,0.62069,0.50505
SCGB1D2_0,0.57336,0.95982,0.06716,0.5,0.63235,0.48485
ADH5_0,0.57322,0.95726,0.06897,0.5,0.62396,0.51515
CLDN6_1,0.57194,0,0,0,0,0.5
PKM_1,0.57165,0.97436,0.02069,0.33333,0.61622,0.50505
KLK11_0,0.57123,0.96121,0.12057,0.65385,0.64265,0.45455
RPRD1B_0,0.57108,0,0,0,0,0.5
MAP4K4,0.56938,0,0,0,0,0.5
UCHL1_2,0.56849,0,0,0,0,0.5
ANXA4_0,0.56513,0.97826,0.0411,0.54545,0.61644,0.50505
SSR1_0,0.56236,0.96341,0.09091,0.57143,0.66387,0.51515
SCGB1D2_2,0.56177,0.95812,0.08633,0.6,0.59032,0.48485
PROM1_1,0.55621,0.99107,0.03676,0.71429,0.6289,0.49495
IGF2BP3_1,0.55581,0,0,0,0,0.5
ADH5_1,0.55561,0.97872,0.02721,0.44444,0.61662,0.50505
FN1_0,0.55447,1.0,0.02721,1.0,0.62169,0.50505
ABHD14B_1,0.55445,0.96104,0.06164,0.5,0.61838,0.51515
TXN_1,0.55313,0,0,0,0,0.5
ADD3_2,0.55229,1.0,0.05556,1.0,0.5,0.28283
TTC38_0,0.55206,0,0,0,0,0.5
SMPDL3B_1,0.55099,0.95628,0.02679,0.27273,0.6162,0.51515
TXN_0,0.54923,0.98298,0.02041,0.42857,0.616,0.51515
PPP2R2A_0,0.54866,0.96596,0.08844,0.61905,0.62881,0.57576
ALCAM_1,0.54489,0,0,0,0,0.5
ABHD14B_2,0.54347,0.99573,0.0137,0.66667,0.61804,0.50505
PFDN4_1,0.5434,0.99522,0.00885,0.5,0.65,0.50505
ABHD14B_0,0.54298,1.0,0.01379,1.0,0.62169,0.50505
ADH5_2,0.54014,0.98298,0.02041,0.42857,0.616,0.50505
TBC1D2B_1,0.53977,0.9774,0.03,0.42857,0.64074,0.50505
CKB_1,0.53717,0.97414,0.04225,0.5,0.62431,0.50505
CKB_2,0.53657,0.97863,0.04762,0.58333,0.6206,0.50505
CTSD_0,0.53579,0.98298,0.02721,0.5,0.61765,0.51515
CKB_0,0.53264,0,0,0,0,0.5
KRT16,0.52688,0.95299,0.04082,0.35294,0.61264,0.50505
ALPL_0,0.52597,0,0,0,0,0.5
SPON1_1,0.52169,0.98238,0.06897,0.71429,0.62291,0.50505
PODXL_2,0.52043,0,0,0,0,0.5
TTN,0.51923,0,0,0,0,0.5
ALPL_2,0.51623,0,0,0,0,0.5
PODXL_1,0.51535,0,0,0,0,0.5
PFDN6_0,0.51435,0.97285,0.09091,0.66667,0.64179,0.50505
CTSD_1,0.5142,0.96552,0.07692,0.57895,0.62921,0.51515
PRPF31_2,0.51383,0,0,0,0,0.5
TFF3,0.51271,0.96087,0.07692,0.55,0.62606,0.48485
VIM_0,0.50939,0.97021,0.04762,0.5,0.61957,0.51515
SCGB2A1_1,0.50838,0.96714,0.08759,0.63158,0.62236,0.50505
ADAM10,0.50652,0,0,0,0,0.5
RPRD1B_1,0.50485,0.99142,0.0274,0.66667,0.6193,0.50505
PLAUR_1,0.50316,0,0,0,0,0.5
TANGO2_1,0.4989,0.9635,0.01042,0.16667,0.5815,0.50505
CRYL1_2,0.49869,0,0,0,0,0.5
SCGB2A1_0,0.49482,0,0,0,0,0.5
MCM3_0,0.49453,0,0,0,0,0.5
ITGA3_0,0.49383,0.96454,0.09615,0.66667,0.5913,0.46465
SNCA_2,0.49333,0,0,0,0,0.5
PODXL_0,0.492,0,0,0,0,0.5
C1RL_1,0.49159,0.97021,0.08219,0.63158,0.62983,0.51515
SCGB1D2_1,0.48972,0,0,0,0,0.5
PROM1_2,0.48844,0,0,0,0,0.5
GSDME_0,0.48835,0,0,0,0,0.5
WFDC2_1,0.48562,0,0,0,0,0.5
CFI_2,0.4847,0.97021,0.05442,0.53333,0.62125,0.53535
SPON1_0,0.4828,0,0,0,0,0.5
PAM_1,0.48267,0.9913,0.01389,0.5,0.61622,0.50505
FAM3C_1,0.48094,0,0,0,0,0.5
PROM1_0,0.47964,0,0,0,0,0.5
C1RL_0,0.47956,0.9617,0.07586,0.55,0.62778,0.51515
MUC5B_1,0.47912,0,0,0,0,0.5
ALPL_1,0.47895,0,0,0,0,0.5
CFI_1,0.47816,0.97447,0.06122,0.6,0.62398,0.53535
BPGM_0,0.47506,0.99123,0.00699,0.33333,0.61413,0.50505
MUC5B_0,0.46994,0,0,0,0,0.5
NT5E_0,0.46634,0,0,0,0,0.5
PIGR_1,0.46631,0,0,0,0,0.5
CD59_0,0.46413,0,0,0,0,0.5
CFI_0,0.46279,0.96121,0.09028,0.59091,0.62994,0.53535
FAS,0.46107,0,0,0,0,0.5
PAM_0,0.45817,0,0,0,0,0.5
MLEC_0,0.45497,0,0,0,0,0.5
PLAUR_0,0.45492,0,0,0,0,0.5
PLAUR_2,0.45375,0,0,0,0,0.5
TPPP3_2,0.45053,0.96581,0.01361,0.2,0.60916,0.50505
WFDC2_0,0.44885,0.96053,0.02817,0.30769,0.61345,0.51515
MYLK_1,0.4473,0,0,0,0,0.5
IGFBP7_1,0.44073,0,0,0,0,0.5
NT5E_2,0.44026,0,0,0,0,0.5
PAM_2,0.43912,0,0,0,0,0.5
PIGR_0,0.43668,0.95319,0.01361,0.15385,0.60705,0.50505
NT5E_1,0.43602,0,0,0,0,0.5
CD59_1,0.43355,0,0,0,0,0.5
SNCA_0,0.43283,0.97447,0.03401,0.45455,0.61725,0.50505
SPON1_2,0.43111,0,0,0,0,0.5
CD81,0.43025,0,0,0,0,0.5
SSR1_1,0.4301,0,0,0,0,0.5
VIM_1,0.42954,0.96596,0.05479,0.5,0.62192,0.50505
H1-0_0,0.42688,0,0,0,0,0.5
TPPP3_1,0.4247,0,0,0,0,0.5
TPPP3_0,0.4238,0,0,0,0,0.5
TGM2_0,0.41928,0,0,0,0,0.5
WFDC2_2,0.41871,0,0,0,0,0.5
IGFBP7_0,0.41428,0,0,0,0,0.5
TGM2_1,0.41407,0,0,0,0,0.5
MYLK_0,0.41332,0,0,0,0,0.5
ITGA3_1,0.3979,0.95319,0.12414,0.62069,0.63818,0.48485
GSDME_1,0.39483,0,0,0,0,0.5
AGR2_1,0.38613,0.98462,0.01639,0.33333,0.68085,0.51515
LGALS1_0,0.38498,0.97872,0.0068,0.16667,0.6117,0.50505
FHL1_0,0.38162,1.0,0.0068,1.0,0.6168,0.50505
BPGM_1,0.37888,0,0,0,0,0.5
LGALS1_1,0.37819,0.96581,0.03497,0.38462,0.62088,0.50505
RAB8A_1,0.37689,0.96685,0.07921,0.57143,0.65299,0.48485
MYLK_2,0.37455,0,0,0,0,0.5
BPGM_2,0.37208,0,0,0,0,0.5
EIF2B4_1,0.37071,0.99558,0.03676,0.83333,0.63202,0.49495
SNCA_1,0.36662,0,0,0,0,0.5
FHL1_1,0.34881,0,0,0,0,0.5
FHL1_2,0.34575,0,0,0,0,0.5
