Biomarker_1,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
TIMP2_PERM_norm,0.72352,0.22222,0.98276,0.10714,0.85714,0.53271,0.26263,0.94828,0.17857,0.76923,0.54455,0.41414,0.84483,0.53571,0.76923,0.65333
PERM_TIMP2_norm,0.72352,0.22222,0.98276,0.10714,0.85714,0.53271,0.26263,0.94828,0.17857,0.76923,0.54455,0.41414,0.84483,0.53571,0.76923,0.65333
AGRIN_MVP_norm,0.71688,0.5,0.00000,0.00000,0.00000,0.00000,0.26263,0.96552,0.07018,0.66667,0.51376,0.51515,0.63793,0.78947,0.68182,0.75510
MVP_AGRIN_norm,0.71688,0.5,0.00000,0.00000,0.00000,0.00000,0.26263,0.96552,0.07018,0.66667,0.51376,0.51515,0.63793,0.78947,0.68182,0.75510
MMP9_MVP_norm,0.69691,0.23232,0.98276,0.05263,0.75000,0.51351,0.33333,0.94828,0.24561,0.82353,0.56122,0.44444,0.77586,0.57895,0.71739,0.65217
MVP_MMP9_norm,0.69691,0.23232,0.98276,0.05263,0.75000,0.51351,0.33333,0.94828,0.24561,0.82353,0.56122,0.44444,0.77586,0.57895,0.71739,0.65217
MMP9_PERM_norm,0.64134,0.27273,1.00000,0.16071,1.00000,0.55660,0.37374,0.94915,0.21429,0.80000,0.56000,0.55556,0.47458,0.76786,0.58108,0.68293
PERM_MMP9_norm,0.64134,0.27273,1.00000,0.16071,1.00000,0.55660,0.37374,0.94915,0.21429,0.80000,0.56000,0.55556,0.47458,0.76786,0.58108,0.68293
TIMP2_MVP_norm,0.61773,0.29293,1.00000,0.07018,1.00000,0.51818,0.30303,0.94737,0.08772,0.62500,0.50943,0.62626,0.22807,1.00000,0.56436,1.00000
MVP_TIMP2_norm,0.61773,0.29293,1.00000,0.07018,1.00000,0.51818,0.30303,0.94737,0.08772,0.62500,0.50943,0.62626,0.22807,1.00000,0.56436,1.00000
MVP_PERM_norm,0.60222,0.41414,0.98276,0.08929,0.83333,0.52778,0.42424,0.96552,0.16071,0.81818,0.54369,0.48485,0.67241,0.53571,0.61224,0.60000
PERM_MVP_norm,0.60222,0.41414,0.98276,0.08929,0.83333,0.52778,0.42424,0.96552,0.16071,0.81818,0.54369,0.48485,0.67241,0.53571,0.61224,0.60000
AGRIN_PERM_norm,0.58535,0.32323,1.00000,0.01786,1.00000,0.51754,0.37374,0.96610,0.03571,0.50000,0.51351,0.54545,0.40678,0.78571,0.55696,0.66667
PERM_AGRIN_norm,0.58535,0.32323,1.00000,0.01786,1.00000,0.51754,0.37374,0.96610,0.03571,0.50000,0.51351,0.54545,0.40678,0.78571,0.55696,0.66667
KPYM_CLIC1_norm,0.57884,0.44444,0.98182,0.05455,0.75000,0.50943,0.44444,0.98182,0.05455,0.75000,0.50943,0.51515,0.41818,0.78182,0.57333,0.65714
CLIC1_KPYM_norm,0.57884,0.44444,0.98182,0.05455,0.75000,0.50943,0.44444,0.98182,0.05455,0.75000,0.50943,0.51515,0.41818,0.78182,0.57333,0.65714
KPYM_PERM_norm,0.56548,0.37374,0.98214,0.01852,0.50000,0.50926,0.40404,0.94643,0.07407,0.57143,0.51456,0.57576,0.25000,0.94444,0.54839,0.82353
PERM_KPYM_norm,0.56548,0.37374,0.98214,0.01852,0.50000,0.50926,0.40404,0.94643,0.07407,0.57143,0.51456,0.57576,0.25000,0.94444,0.54839,0.82353
MMP9_CLIC1_norm,0.55656,0.41414,0.98276,0.01754,0.50000,0.50442,0.42424,0.94828,0.03509,0.40000,0.50000,0.51515,0.46552,0.64912,0.54412,0.57447
CLIC1_MMP9_norm,0.55656,0.41414,0.98276,0.01754,0.50000,0.50442,0.42424,0.94828,0.03509,0.40000,0.50000,0.51515,0.46552,0.64912,0.54412,0.57447
PERM_CLIC1_norm,0.55265,0.36364,1.00000,0.03571,1.00000,0.51786,0.36364,1.00000,0.03571,1.00000,0.51786,0.58586,0.15517,1.00000,0.53333,1.00000
CLIC1_PERM_norm,0.55265,0.36364,1.00000,0.03571,1.00000,0.51786,0.36364,1.00000,0.03571,1.00000,0.51786,0.58586,0.15517,1.00000,0.53333,1.00000
MMP9_KPYM_norm,0.54058,0.43434,0.98214,0.03636,0.66667,0.50926,0.45455,0.94643,0.05455,0.50000,0.50476,0.54545,0.16071,0.94545,0.52525,0.75000
KPYM_MMP9_norm,0.54058,0.43434,0.98214,0.03636,0.66667,0.50926,0.45455,0.94643,0.05455,0.50000,0.50476,0.54545,0.16071,0.94545,0.52525,0.75000
MMP9_AGRIN_norm,0.5397,0.43434,0.98305,0.07018,0.80000,0.52252,0.43434,0.98305,0.07018,0.80000,0.52252,0.54545,0.33898,0.84211,0.55172,0.68966
AGRIN_MMP9_norm,0.5397,0.43434,0.98305,0.07018,0.80000,0.52252,0.43434,0.98305,0.07018,0.80000,0.52252,0.54545,0.33898,0.84211,0.55172,0.68966
AGRIN_CLIC1_norm,0.51422,0.5,0.00000,0.00000,0.00000,0.00000,0.47475,0.96552,0.01754,0.33333,0.50000,0.51515,0.20690,0.96491,0.54455,0.85714
CLIC1_AGRIN_norm,0.51422,0.5,0.00000,0.00000,0.00000,0.00000,0.47475,0.96552,0.01754,0.33333,0.50000,0.51515,0.20690,0.96491,0.54455,0.85714
KPYM_AGRIN_norm,0.50584,0.5,0.00000,0.00000,0.00000,0.00000,0.5,0.00000,0.00000,0.00000,0.00000,0.49495,0.55357,0.58182,0.56140,0.57407
AGRIN_KPYM_norm,0.50584,0.5,0.00000,0.00000,0.00000,0.00000,0.5,0.00000,0.00000,0.00000,0.00000,0.49495,0.55357,0.58182,0.56140,0.57407
