,crystal_id,assembly,n_uniprots,composition
1,1nmk,2,1.0,Homo
0,4yul,1,1.0,Homo
0,1m63,1,6.0,Hetero
0,2ms4,1,1.0,Homo
0,4n1r,1,1.0,Homo
0,6y9z,1,10.0,Hetero
0,8hz8,1,1.0,Homo
0,7upn,1,8.0,Hetero
0,5fjb,1,3.0,Hetero
0,4n1q,1,1.0,Homo
0,3rdd,1,1.0,Homo
0,4yuo,1,1.0,Homo
0,5nos,1,1.0,Homo
0,5kv0,1,1.0,Homo
0,1vbt,1,1.0,Homo
1,1vbt,2,1.0,Homo
0,5not,1,1.0,Homo
0,3k0p,1,1.0,Homo
0,1mik,1,1.0,Homo
0,1cwm,1,1.0,Homo
0,5kuv,1,1.0,Homo
0,1cwk,1,1.0,Homo
0,5kv3,1,1.0,Homo
0,7pcj,1,2.0,Homo
0,1oca,1,1.0,Homo
0,6u5e,1,1.0,Homo
0,5kuu,1,1.0,Homo
0,1vbs,1,1.0,Homo
0,1bck,1,1.0,Homo
0,2x2c,1,5.0,Homo
0,1m9x,1,2.0,Hetero
1,1m9x,2,2.0,Hetero
2,1m9x,3,2.0,Hetero
3,1m9x,4,2.0,Hetero
0,3k0o,1,1.0,Homo
0,6x4q,1,1.0,Homo
0,3k0r,1,1.0,Homo
0,6bta,1,1.0,Homo
0,1m9d,1,2.0,Hetero
1,1m9d,2,2.0,Hetero
0,5kv2,1,1.0,Homo
0,1aws,1,1.0,Homo
0,5kuq,1,1.0,Homo
0,5t9z,1,1.0,Homo
0,5nox,1,1.0,Homo
0,5kv7,1,1.0,Homo
0,4n1s,1,1.0,Homo
0,4yuk,1,1.0,Homo
0,5now,1,1.0,Homo
0,6i42,1,2.0,Hetero
0,8g9q,1,2.0,Hetero
0,5t9w,1,1.0,Homo
0,1m9c,1,2.0,Hetero
1,1m9c,2,2.0,Hetero
0,2x2d,1,2.0,Hetero
1,2x2d,2,2.0,Hetero
0,5kv5,1,1.0,Homo
0,5kv4,1,1.0,Homo
0,2cpl,1,1.0,Homo
0,1mf8,1,3.0,Hetero
0,5kuo,1,1.0,Homo
0,8tbm,1,2.0,Hetero
1,8tbm,2,2.0,Hetero
0,1m9y,1,2.0,Hetero
1,1m9y,2,2.0,Hetero
2,1m9y,3,2.0,Hetero
3,1m9y,4,2.0,Hetero
0,5kul,1,1.0,Homo
0,4n1m,1,1.0,Homo
0,5lud,1,1.0,Homo
0,3odi,1,1.0,Homo
1,3odi,2,1.0,Homo
2,3odi,3,1.0,Homo
3,3odi,4,1.0,Homo
4,3odi,5,1.0,Homo
5,3odi,6,1.0,Homo
6,3odi,7,1.0,Homo
7,3odi,8,1.0,Homo
8,3odi,9,1.0,Homo
9,3odi,10,1.0,Homo
0,1w8m,1,1.0,Homo
0,1cwh,1,1.0,Homo
0,3cys,1,1.0,Homo
0,4yup,1,1.0,Homo
0,5kuz,1,1.0,Homo
0,6gjm,1,1.0,Homo
0,8tbl,1,2.0,Hetero
1,8tbl,2,2.0,Hetero
0,5kus,1,1.0,Homo
0,3k0q,1,1.0,Homo
0,5nor,1,1.0,Homo
0,5kv6,1,1.0,Homo
0,6y9y,1,10.0,Hetero
0,6gjn,1,1.0,Homo
0,5wc7,1,1.0,Homo
0,5nou,1,1.0,Homo
0,1awq,1,1.0,Homo
0,1cwl,1,1.0,Homo
0,1awt,1,1.0,Homo
1,1awt,2,1.0,Homo
2,1awt,3,1.0,Homo
3,1awt,4,1.0,Homo
4,1awt,5,1.0,Homo
5,1awt,6,1.0,Homo
0,6gs6,1,1.0,Homo
0,6x4m,1,1.0,Homo
0,1cwj,1,1.0,Homo
0,1cwa,1,1.0,Homo
0,5noq,1,1.0,Homo
0,6gjy,1,1.0,Homo
0,1ynd,1,1.0,Homo
1,1ynd,2,1.0,Homo
0,6x4o,1,1.0,Homo
0,6gjj,1,1.0,Homo
0,4yuh,1,1.0,Homo
0,1cwc,1,1.0,Homo
0,3k0m,1,1.0,Homo
0,1m9f,1,2.0,Hetero
1,1m9f,2,2.0,Hetero
0,4yuj,1,1.0,Homo
0,6x4p,1,1.0,Homo
0,1m9e,1,2.0,Hetero
1,1m9e,2,2.0,Hetero
0,3odl,1,1.0,Homo
1,3odl,2,1.0,Homo
2,3odl,3,1.0,Homo
3,3odl,4,1.0,Homo
4,3odl,5,1.0,Homo
5,3odl,6,1.0,Homo
6,3odl,7,1.0,Homo
7,3odl,8,1.0,Homo
8,3odl,9,1.0,Homo
9,3odl,10,1.0,Homo
0,6y9x,1,10.0,Hetero
0,5t9u,1,1.0,Homo
1,5t9u,2,1.0,Homo
2,5t9u,3,1.0,Homo
3,5t9u,4,1.0,Homo
0,5ta4,1,1.0,Homo
0,3k0n,1,1.0,Homo
0,5f66,1,1.0,Homo
0,5ta2,1,1.0,Homo
0,6u5c,1,1.0,Homo
0,4yug,1,1.0,Homo
0,2cyh,1,1.0,Homo
0,4yui,1,1.0,Homo
0,6u5d,1,1.0,Homo
0,6x3r,1,1.0,Homo
0,1w8v,1,1.0,Homo
0,3cyh,1,1.0,Homo
0,1awu,1,1.0,Homo
0,6gji,1,1.0,Homo
0,7ta8,1,1.0,Homo
0,1awv,1,1.0,Homo
1,1awv,2,1.0,Homo
2,1awv,3,1.0,Homo
3,1awv,4,1.0,Homo
4,1awv,5,1.0,Homo
5,1awv,6,1.0,Homo
0,1fgl,1,2.0,Hetero
0,1zkf,1,1.0,Homo
1,1zkf,2,1.0,Homo
0,7uxm,1,1.0,Homo
1,7uxm,2,1.0,Homo
2,7uxm,3,1.0,Homo
0,2xgy,1,1.0,Homo
0,4n1o,1,1.0,Homo
0,1cwf,1,1.0,Homo
0,5kuw,1,1.0,Homo
0,5nov,1,1.0,Homo
0,4n1p,1,1.0,Homo
0,2x2a,1,2.0,Homo
