Biomarker_1,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
ACACA_EGLN,0.99465,0.16162,0.98182,0.92157,0.97917,0.93103,0.42424,0.96364,0.98039,0.96154,0.98148,0.42424,0.96364,0.98039,0.96154,0.98148
VINEX_SMC2,0.99462,0.38384,0.98077,0.94000,0.97917,0.94444,0.46465,0.96154,0.98000,0.96078,0.98039,0.46465,0.96154,0.98000,0.96078,0.98039
SMC2_VINEX,0.99462,0.38384,0.98077,0.94000,0.97917,0.94444,0.46465,0.96154,0.98000,0.96078,0.98039,0.46465,0.96154,0.98000,0.96078,0.98039
VINEX_ASNS,0.99445,0.14141,0.98077,0.94231,0.98000,0.94444,0.14141,0.98077,0.94231,0.98000,0.94444,0.81818,0.94231,1.00000,0.94545,1.00000
ASNS_VINEX,0.99445,0.14141,0.98077,0.94231,0.98000,0.94444,0.14141,0.98077,0.94231,0.98000,0.94444,0.81818,0.94231,1.00000,0.94545,1.00000
KAP3_ACACA,0.99423,0.12121,0.98039,0.94118,0.97959,0.94340,0.12121,0.98039,0.94118,0.97959,0.94340,0.12121,0.98039,0.94118,0.97959,0.94340
ACACA_KAP3,0.99423,0.12121,0.98039,0.94118,0.97959,0.94340,0.12121,0.98039,0.94118,0.97959,0.94340,0.12121,0.98039,0.94118,0.97959,0.94340
ASNS_PGS2,0.99416,0.14141,0.98214,0.88462,0.97872,0.90164,0.54545,0.94643,0.98077,0.94444,0.98148,0.82828,0.92857,1.00000,0.92857,1.00000
PGS2_ASNS,0.99416,0.14141,0.98214,0.88462,0.97872,0.90164,0.54545,0.94643,0.98077,0.94444,0.98148,0.82828,0.92857,1.00000,0.92857,1.00000
VINEX_ESRP1,0.99408,0.32323,0.98039,0.96226,0.98077,0.96154,0.32323,0.98039,0.96226,0.98077,0.96154,0.32323,0.98039,0.96226,0.98077,0.96154
ESRP1_VINEX,0.99408,0.32323,0.98039,0.96226,0.98077,0.96154,0.32323,0.98039,0.96226,0.98077,0.96154,0.32323,0.98039,0.96226,0.98077,0.96154
AL1A2_CDK1,0.99394,0.22222,0.98246,0.96364,0.98148,0.96552,0.22222,0.98246,0.96364,0.98148,0.96552,0.22222,0.98246,0.96364,0.98148,0.96552
AL1A1_ACACA,0.99394,0.25253,0.98182,0.96078,0.98000,0.96429,0.54545,0.96364,0.98039,0.96154,0.98148,0.54545,0.96364,0.98039,0.96154,0.98148
CDK1_AL1A2,0.99394,0.22222,0.98246,0.96364,0.98148,0.96552,0.22222,0.98246,0.96364,0.98148,0.96552,0.22222,0.98246,0.96364,0.98148,0.96552
ACACA_AL1A1,0.99394,0.25253,0.98182,0.96078,0.98000,0.96429,0.54545,0.96364,0.98039,0.96154,0.98148,0.54545,0.96364,0.98039,0.96154,0.98148
VINEX_FAS,0.99383,0.11111,1.00000,0.87273,1.00000,0.88333,0.45455,0.96226,0.98182,0.96429,0.98077,0.45455,0.96226,0.98182,0.96429,0.98077
FAS_VINEX,0.99383,0.11111,1.00000,0.87273,1.00000,0.88333,0.45455,0.96226,0.98182,0.96429,0.98077,0.45455,0.96226,0.98182,0.96429,0.98077
ASNS_CNRP1,0.99382,0.22222,0.98214,0.92308,0.97959,0.93220,0.33333,0.94643,0.94231,0.94231,0.94643,0.43434,0.92857,0.98077,0.92727,0.98113
CNRP1_ASNS,0.99382,0.22222,0.98214,0.92308,0.97959,0.93220,0.33333,0.94643,0.94231,0.94231,0.94643,0.43434,0.92857,0.98077,0.92727,0.98113
CLIC2_ASNS,0.99371,0.22222,0.98182,0.94231,0.98000,0.94737,0.43434,0.94545,0.96154,0.94340,0.96296,0.64646,0.92727,1.00000,0.92857,1.00000
CLIC2_ESRP1,0.99371,0.17172,1.00000,0.94444,1.00000,0.94643,0.17172,1.00000,0.94444,1.00000,0.94643,0.17172,1.00000,0.94444,1.00000,0.94643
ASNS_CLIC2,0.99371,0.22222,0.98182,0.94231,0.98000,0.94737,0.43434,0.94545,0.96154,0.94340,0.96296,0.64646,0.92727,1.00000,0.92857,1.00000
ESRP1_CLIC2,0.99371,0.17172,1.00000,0.94444,1.00000,0.94643,0.17172,1.00000,0.94444,1.00000,0.94643,0.17172,1.00000,0.94444,1.00000,0.94643
ASNS_CDN2C,0.99359,0.18182,0.98039,0.90385,0.97917,0.90909,0.45455,0.96078,0.98077,0.96226,0.98000,0.45455,0.96078,0.98077,0.96226,0.98000
CDN2C_ASNS,0.99359,0.18182,0.98039,0.90385,0.97917,0.90909,0.45455,0.96078,0.98077,0.96226,0.98000,0.45455,0.96078,0.98077,0.96226,0.98000
MXRA7_ESRP1,0.99348,0.16162,0.98148,0.88889,0.97959,0.89831,0.34343,0.96296,0.90741,0.96078,0.91228,0.71717,0.92593,1.00000,0.93103,1.00000
ESRP1_MXRA7,0.99348,0.16162,0.98148,0.88889,0.97959,0.89831,0.34343,0.96296,0.90741,0.96078,0.91228,0.71717,0.92593,1.00000,0.93103,1.00000
VINEX_UBE2H,0.99314,0.29293,0.98113,0.96364,0.98148,0.96296,0.29293,0.98113,0.96364,0.98148,0.96296,0.29293,0.98113,0.96364,0.98148,0.96296
UBE2H_VINEX,0.99314,0.29293,0.98113,0.96364,0.98148,0.96296,0.29293,0.98113,0.96364,0.98148,0.96296,0.29293,0.98113,0.96364,0.98148,0.96296
IMA1_MXRA7,0.99298,0.21212,1.00000,0.92000,1.00000,0.93443,0.34343,0.96491,0.94000,0.95918,0.94828,0.21212,1.00000,0.92000,1.00000,0.93443
MXRA7_IMA1,0.99298,0.21212,1.00000,0.92000,1.00000,0.93443,0.34343,0.96491,0.94000,0.95918,0.94828,0.21212,1.00000,0.92000,1.00000,0.93443
PGFRB_ACACA,0.99297,0.24242,0.98113,0.94118,0.97959,0.94545,0.41414,0.96226,0.96078,0.96078,0.96226,0.41414,0.96226,0.96078,0.96078,0.96226
ACACA_PGFRB,0.99297,0.24242,0.98113,0.94118,0.97959,0.94545,0.41414,0.96226,0.96078,0.96078,0.96226,0.41414,0.96226,0.96078,0.96078,0.96226
VINEX_RTKN,0.9928,0.33333,0.97959,0.94118,0.97959,0.94118,0.45455,0.95918,0.96078,0.96078,0.95918,0.33333,0.97959,0.94118,0.97959,0.94118
VINEX_DPP3,0.9928,0.25253,0.98113,0.94545,0.98113,0.94545,0.25253,0.98113,0.94545,0.98113,0.94545,0.25253,0.98113,0.94545,0.98113,0.94545
RTKN_VINEX,0.9928,0.33333,0.97959,0.94118,0.97959,0.94118,0.45455,0.95918,0.96078,0.96078,0.95918,0.33333,0.97959,0.94118,0.97959,0.94118
DPP3_VINEX,0.9928,0.25253,0.98113,0.94545,0.98113,0.94545,0.25253,0.98113,0.94545,0.98113,0.94545,0.25253,0.98113,0.94545,0.98113,0.94545
ASNS_PRIO,0.99274,0.22222,0.98113,0.92308,0.97959,0.92857,0.36364,0.96226,0.96154,0.96154,0.96226,0.36364,0.96226,0.96154,0.96154,0.96226
PRIO_ASNS,0.99274,0.22222,0.98113,0.92308,0.97959,0.92857,0.36364,0.96226,0.96154,0.96154,0.96226,0.36364,0.96226,0.96154,0.96154,0.96226
CNRP1_UCK2,0.9927,0.21212,0.98039,0.94118,0.97959,0.94340,0.23232,0.96078,0.96078,0.96078,0.96078,0.23232,0.96078,0.96078,0.96078,0.96078
UCK2_CNRP1,0.9927,0.21212,0.98039,0.94118,0.97959,0.94340,0.23232,0.96078,0.96078,0.96078,0.96078,0.23232,0.96078,0.96078,0.96078,0.96078
ASNS_RET7,0.99269,0.29293,0.98000,0.92308,0.97959,0.92453,0.49495,0.96000,0.94231,0.96078,0.94118,0.29293,0.98000,0.92308,0.97959,0.92453
RET7_ASNS,0.99269,0.29293,0.98000,0.92308,0.97959,0.92453,0.49495,0.96000,0.94231,0.96078,0.94118,0.29293,0.98000,0.92308,0.97959,0.92453
AL1A1_IDI1,0.99266,0.30303,0.98246,0.96364,0.98148,0.96552,0.59596,0.96491,1.00000,0.96491,1.00000,0.59596,0.96491,1.00000,0.96491,1.00000
IDI1_AL1A1,0.99266,0.30303,0.98246,0.96364,0.98148,0.96552,0.59596,0.96491,1.00000,0.96491,1.00000,0.59596,0.96491,1.00000,0.96491,1.00000
VINEX_IMA1,0.99245,0.28283,0.98113,0.92000,0.97872,0.92857,0.28283,0.98113,0.92000,0.97872,0.92857,0.55556,0.94340,1.00000,0.94340,1.00000
IMA1_VINEX,0.99245,0.28283,0.98113,0.92000,0.97872,0.92857,0.28283,0.98113,0.92000,0.97872,0.92857,0.55556,0.94340,1.00000,0.94340,1.00000
CDK1_KAP3,0.99231,0.26263,1.00000,0.92593,1.00000,0.92982,0.46465,0.96226,0.96296,0.96296,0.96226,0.26263,1.00000,0.92593,1.00000,0.92982
KAP3_CDK1,0.99231,0.26263,1.00000,0.92593,1.00000,0.92982,0.46465,0.96226,0.96296,0.96296,0.96226,0.26263,1.00000,0.92593,1.00000,0.92982
ASNS_EGLN,0.9921,0.12121,0.98214,0.86538,0.97826,0.88710,0.37374,0.94643,0.96154,0.94340,0.96364,0.78788,0.91071,1.00000,0.91228,1.00000
EGLN_ASNS,0.9921,0.12121,0.98214,0.86538,0.97826,0.88710,0.37374,0.94643,0.96154,0.94340,0.96364,0.78788,0.91071,1.00000,0.91228,1.00000
ASNS_KAP3,0.99208,0.13131,1.00000,0.86538,1.00000,0.87931,0.20202,0.96078,0.90385,0.95918,0.90741,0.30303,0.94118,0.96154,0.94340,0.96000
KAP3_ASNS,0.99208,0.13131,1.00000,0.86538,1.00000,0.87931,0.20202,0.96078,0.90385,0.95918,0.90741,0.30303,0.94118,0.96154,0.94340,0.96000
CNRP1_HOOK1,0.99207,0.10101,0.98182,0.83636,0.97872,0.85714,0.53535,0.94545,1.00000,0.94828,1.00000,0.53535,0.94545,1.00000,0.94828,1.00000
HOOK1_CNRP1,0.99207,0.10101,0.98182,0.83636,0.97872,0.85714,0.53535,0.94545,1.00000,0.94828,1.00000,0.53535,0.94545,1.00000,0.94828,1.00000
VINEX_UCK2,0.99176,0.36364,0.98000,0.94118,0.97959,0.94231,0.40404,0.96000,0.96078,0.96078,0.96000,0.36364,0.98000,0.94118,0.97959,0.94231
UCK2_VINEX,0.99176,0.36364,0.98000,0.94118,0.97959,0.94231,0.40404,0.96000,0.96078,0.96078,0.96000,0.36364,0.98000,0.94118,0.97959,0.94231
VINEX_MSTO1,0.9916,0.32323,0.98039,0.91837,0.97826,0.92593,0.46465,0.96078,0.93878,0.95833,0.94231,0.46465,0.96078,0.93878,0.95833,0.94231
MSTO1_VINEX,0.9916,0.32323,0.98039,0.91837,0.97826,0.92593,0.46465,0.96078,0.93878,0.95833,0.94231,0.46465,0.96078,0.93878,0.95833,0.94231
CDK1_CDN2C,0.99142,0.15152,0.98113,0.87273,0.97959,0.88136,0.20202,0.96226,0.89091,0.96078,0.89474,0.70707,0.92453,1.00000,0.93220,1.00000
CDN2C_CDK1,0.99142,0.15152,0.98113,0.87273,0.97959,0.88136,0.20202,0.96226,0.89091,0.96078,0.89474,0.70707,0.92453,1.00000,0.93220,1.00000
AL1A2_RTKN,0.99137,0.15152,0.98000,0.94118,0.97959,0.94231,0.15152,0.98000,0.94118,0.97959,0.94231,0.15152,0.98000,0.94118,0.97959,0.94231
RTKN_AL1A2,0.99137,0.15152,0.98000,0.94118,0.97959,0.94231,0.15152,0.98000,0.94118,0.97959,0.94231,0.15152,0.98000,0.94118,0.97959,0.94231
AL1A2_SMC2,0.99127,0.11111,0.98182,0.86000,0.97727,0.88525,0.19192,0.96364,0.94000,0.95918,0.94643,0.68687,0.92727,0.98000,0.92453,0.98077
SMC2_AL1A2,0.99127,0.11111,0.98182,0.86000,0.97727,0.88525,0.19192,0.96364,0.94000,0.95918,0.94643,0.68687,0.92727,0.98000,0.92453,0.98077
KAP3_IMA1,0.99115,0.23232,0.98077,0.90000,0.97826,0.91071,0.42424,0.96154,0.96000,0.96000,0.96154,0.42424,0.96154,0.96000,0.96000,0.96154
IMA1_KAP3,0.99115,0.23232,0.98077,0.90000,0.97826,0.91071,0.42424,0.96154,0.96000,0.96000,0.96154,0.42424,0.96154,0.96000,0.96000,0.96154
AL1A2_MSTO1,0.99114,0.12121,0.98113,0.85714,0.97674,0.88136,0.30303,0.96226,0.93878,0.95833,0.94444,0.38384,0.94340,0.95918,0.94000,0.96154
MSTO1_AL1A2,0.99114,0.12121,0.98113,0.85714,0.97674,0.88136,0.30303,0.96226,0.93878,0.95833,0.94444,0.38384,0.94340,0.95918,0.94000,0.96154
VINEX_DPOD1,0.9911,0.09091,0.98077,0.83333,0.97826,0.85000,0.38384,0.96154,0.98148,0.96364,0.98039,0.38384,0.96154,0.98148,0.96364,0.98039
DPOD1_VINEX,0.9911,0.09091,0.98077,0.83333,0.97826,0.85000,0.38384,0.96154,0.98148,0.96364,0.98039,0.38384,0.96154,0.98148,0.96364,0.98039
KANK2_ESRP1,0.99093,0.28283,0.98077,0.90566,0.97959,0.91071,0.28283,0.98077,0.90566,0.97959,0.91071,0.48485,0.94231,0.96226,0.94444,0.96078
ESRP1_KANK2,0.99093,0.28283,0.98077,0.90566,0.97959,0.91071,0.28283,0.98077,0.90566,0.97959,0.91071,0.48485,0.94231,0.96226,0.94444,0.96078
VINEX_IDI1,0.99092,0.07071,0.98113,0.83333,0.97826,0.85246,0.21212,0.96226,0.90741,0.96078,0.91071,0.51515,0.94340,0.98148,0.94643,0.98039
IDI1_VINEX,0.99092,0.07071,0.98113,0.83333,0.97826,0.85246,0.21212,0.96226,0.90741,0.96078,0.91071,0.51515,0.94340,0.98148,0.94643,0.98039
VINEX_GNA1,0.99091,0.17172,0.98077,0.87273,0.97959,0.87931,0.31313,0.96154,0.94545,0.96296,0.94340,0.31313,0.96154,0.94545,0.96296,0.94340
GNA1_VINEX,0.99091,0.17172,0.98077,0.87273,0.97959,0.87931,0.31313,0.96154,0.94545,0.96296,0.94340,0.31313,0.96154,0.94545,0.96296,0.94340
CNRP1_RTKN,0.99059,0.26263,0.98000,0.94118,0.97959,0.94231,0.26263,0.98000,0.94118,0.97959,0.94231,0.26263,0.98000,0.94118,0.97959,0.94231
RTKN_CNRP1,0.99059,0.26263,0.98000,0.94118,0.97959,0.94231,0.26263,0.98000,0.94118,0.97959,0.94231,0.26263,0.98000,0.94118,0.97959,0.94231
VINEX_HOOK1,0.99056,0.05051,0.98039,0.77778,0.97674,0.80645,0.40404,0.96078,0.98148,0.96364,0.98000,0.40404,0.96078,0.98148,0.96364,0.98000
HOOK1_VINEX,0.99056,0.05051,0.98039,0.77778,0.97674,0.80645,0.40404,0.96078,0.98148,0.96364,0.98000,0.40404,0.96078,0.98148,0.96364,0.98000
MXRA7_ACACA,0.99037,0.21212,0.98182,0.90196,0.97872,0.91525,0.33333,0.96364,0.96078,0.96078,0.96364,0.33333,0.96364,0.96078,0.96078,0.96364
ACACA_MXRA7,0.99037,0.21212,0.98182,0.90196,0.97872,0.91525,0.33333,0.96364,0.96078,0.96078,0.96364,0.33333,0.96364,0.96078,0.96078,0.96364
FHL1_HOOK1,0.99022,0.25253,0.98113,0.94444,0.98077,0.94545,0.25253,0.98113,0.94444,0.98077,0.94545,0.25253,0.98113,0.94444,0.98077,0.94545
HOOK1_FHL1,0.99022,0.25253,0.98113,0.94444,0.98077,0.94545,0.25253,0.98113,0.94444,0.98077,0.94545,0.25253,0.98113,0.94444,0.98077,0.94545
VINEX_MD2L1,0.99021,0.25253,0.98077,0.94545,0.98113,0.94444,0.25253,0.98077,0.94545,0.98113,0.94444,0.25253,0.98077,0.94545,0.98113,0.94444
MD2L1_VINEX,0.99021,0.25253,0.98077,0.94545,0.98113,0.94444,0.25253,0.98077,0.94545,0.98113,0.94444,0.25253,0.98077,0.94545,0.98113,0.94444
AL1A1_HOOK1,0.99008,0.71717,0.98182,1.00000,0.98214,1.00000,0.71717,0.98182,1.00000,0.98214,1.00000,0.71717,0.98182,1.00000,0.98214,1.00000
HOOK1_AL1A1,0.99008,0.71717,0.98182,1.00000,0.98214,1.00000,0.71717,0.98182,1.00000,0.98214,1.00000,0.71717,0.98182,1.00000,0.98214,1.00000
VINEX_CYBP,0.99005,0.27273,0.98113,0.94545,0.98113,0.94545,0.27273,0.98113,0.94545,0.98113,0.94545,0.27273,0.98113,0.94545,0.98113,0.94545
CYBP_VINEX,0.99005,0.27273,0.98113,0.94545,0.98113,0.94545,0.27273,0.98113,0.94545,0.98113,0.94545,0.27273,0.98113,0.94545,0.98113,0.94545
FHL1_ESRP1,0.99003,0.12121,0.98077,0.85185,0.97872,0.86441,0.24242,0.96154,0.90741,0.96078,0.90909,0.53535,0.94231,0.98148,0.94643,0.98000
ESRP1_FHL1,0.99003,0.12121,0.98077,0.85185,0.97872,0.86441,0.24242,0.96154,0.90741,0.96078,0.90909,0.53535,0.94231,0.98148,0.94643,0.98000
ACACA_KANK2,0.99001,0.13131,0.98113,0.86275,0.97778,0.88136,0.25253,0.96226,0.90196,0.95833,0.91071,0.58586,0.92453,0.98039,0.92593,0.98000
KANK2_ACACA,0.99001,0.13131,0.98113,0.86275,0.97778,0.88136,0.25253,0.96226,0.90196,0.95833,0.91071,0.58586,0.92453,0.98039,0.92593,0.98000
CLIC2_IDI1,0.98994,0.24242,0.98214,0.92727,0.98077,0.93220,0.24242,0.98214,0.92727,0.98077,0.93220,0.24242,0.98214,0.92727,0.98077,0.93220
IDI1_CLIC2,0.98994,0.24242,0.98214,0.92727,0.98077,0.93220,0.24242,0.98214,0.92727,0.98077,0.93220,0.24242,0.98214,0.92727,0.98077,0.93220
CLIC2_HOOK1,0.9899,0.10101,0.98148,0.87273,0.97959,0.88333,0.33333,0.96296,0.94545,0.96296,0.94545,0.33333,0.96296,0.94545,0.96296,0.94545
HOOK1_CLIC2,0.9899,0.10101,0.98148,0.87273,0.97959,0.88333,0.33333,0.96296,0.94545,0.96296,0.94545,0.33333,0.96296,0.94545,0.96296,0.94545
AL1A1_FAS,0.98989,0.31313,0.96610,0.94737,0.96429,0.95000,0.31313,0.96610,0.94737,0.96429,0.95000,0.17172,1.00000,0.92982,1.00000,0.93651
FAS_AL1A1,0.98989,0.31313,0.96610,0.94737,0.96429,0.95000,0.31313,0.96610,0.94737,0.96429,0.95000,0.17172,1.00000,0.92982,1.00000,0.93651
PGRC1_IMA1,0.98982,0.21212,0.98246,0.90000,0.97826,0.91803,0.31313,0.96491,0.92000,0.95833,0.93220,0.31313,0.96491,0.92000,0.95833,0.93220
IMA1_PGRC1,0.98982,0.21212,0.98246,0.90000,0.97826,0.91803,0.31313,0.96491,0.92000,0.95833,0.93220,0.31313,0.96491,0.92000,0.95833,0.93220
IMA1_KANK2,0.98982,0.26263,0.98182,0.90000,0.97826,0.91525,0.34343,0.94545,0.92000,0.93878,0.92857,0.58586,0.90909,1.00000,0.90909,1.00000
KANK2_IMA1,0.98982,0.26263,0.98182,0.90000,0.97826,0.91525,0.34343,0.94545,0.92000,0.93878,0.92857,0.58586,0.90909,1.00000,0.90909,1.00000
PGFRB_UCK2,0.9898,0.20202,0.98000,0.90196,0.97872,0.90741,0.20202,0.98000,0.90196,0.97872,0.90741,0.71717,0.92000,0.98039,0.92593,0.97872
UCK2_PGFRB,0.9898,0.20202,0.98000,0.90196,0.97872,0.90741,0.20202,0.98000,0.90196,0.97872,0.90741,0.71717,0.92000,0.98039,0.92593,0.97872
AL1A2_GNA1,0.98975,0.20202,0.98148,0.89286,0.98039,0.89831,0.34343,0.96296,0.96429,0.96429,0.96296,0.34343,0.96296,0.96429,0.96429,0.96296
GNA1_AL1A2,0.98975,0.20202,0.98148,0.89286,0.98039,0.89831,0.34343,0.96296,0.96429,0.96429,0.96296,0.34343,0.96296,0.96429,0.96429,0.96296
DHYS_CNRP1,0.98929,0.14141,0.98214,0.82000,0.97619,0.85938,0.29293,0.96429,0.94000,0.95918,0.94737,0.40404,0.92857,0.98000,0.92453,0.98113
CNRP1_DHYS,0.98929,0.14141,0.98214,0.82000,0.97619,0.85938,0.29293,0.96429,0.94000,0.95918,0.94737,0.40404,0.92857,0.98000,0.92453,0.98113
CLIC2_GNA1,0.98909,0.20202,0.98148,0.89286,0.98039,0.89831,0.33333,0.96296,0.92857,0.96296,0.92857,0.50505,0.94444,0.96429,0.94737,0.96226
GNA1_CLIC2,0.98909,0.20202,0.98148,0.89286,0.98039,0.89831,0.33333,0.96296,0.92857,0.96296,0.92857,0.50505,0.94444,0.96429,0.94737,0.96226
ASNS_RECK,0.98906,0.20202,0.98039,0.88462,0.97872,0.89286,0.46465,0.96078,0.96154,0.96154,0.96078,0.46465,0.96078,0.96154,0.96154,0.96078
RECK_ASNS,0.98906,0.20202,0.98039,0.88462,0.97872,0.89286,0.46465,0.96078,0.96154,0.96154,0.96078,0.46465,0.96078,0.96154,0.96154,0.96078
CDN2C_ACACA,0.98906,0.19192,0.98077,0.92157,0.97917,0.92727,0.34343,0.96154,0.94118,0.96000,0.94340,0.76768,0.90385,1.00000,0.91071,1.00000
ACACA_CDN2C,0.98906,0.19192,0.98077,0.92157,0.97917,0.92727,0.34343,0.96154,0.94118,0.96000,0.94340,0.76768,0.90385,1.00000,0.91071,1.00000
VINEX_SYTC,0.98902,0.18182,0.98113,0.92727,0.98077,0.92857,0.39394,0.96226,0.94545,0.96296,0.94444,0.57576,0.94340,0.98182,0.94737,0.98039
SYTC_VINEX,0.98902,0.18182,0.98113,0.92727,0.98077,0.92857,0.39394,0.96226,0.94545,0.96296,0.94444,0.57576,0.94340,0.98182,0.94737,0.98039
CDK1_KANK2,0.98896,0.26263,0.98214,0.90909,0.98039,0.91667,0.29293,0.96429,0.92727,0.96226,0.93103,0.29293,0.96429,0.92727,0.96226,0.93103
KANK2_CDK1,0.98896,0.26263,0.98214,0.90909,0.98039,0.91667,0.29293,0.96429,0.92727,0.96226,0.93103,0.29293,0.96429,0.92727,0.96226,0.93103
AL1A1_DHYS,0.98893,0.11111,1.00000,0.82000,1.00000,0.86154,0.46465,0.94643,0.96000,0.94118,0.96364,0.48485,0.92857,0.98000,0.92453,0.98113
DHYS_AL1A1,0.98893,0.11111,1.00000,0.82000,1.00000,0.86154,0.46465,0.94643,0.96000,0.94118,0.96364,0.48485,0.92857,0.98000,0.92453,0.98113
ACACA_EPDR1,0.98889,0.09091,0.98148,0.82000,0.97619,0.85484,0.47475,0.96296,0.98000,0.96078,0.98113,0.47475,0.96296,0.98000,0.96078,0.98113
EPDR1_ACACA,0.98889,0.09091,0.98148,0.82000,0.97619,0.85484,0.47475,0.96296,0.98000,0.96078,0.98113,0.47475,0.96296,0.98000,0.96078,0.98113
CDN2C_MSTO1,0.9888,0.15152,0.98039,0.85714,0.97674,0.87719,0.54545,0.96078,0.93878,0.95833,0.94231,0.65657,0.92157,0.97959,0.92308,0.97917
MSTO1_CDN2C,0.9888,0.15152,0.98039,0.85714,0.97674,0.87719,0.54545,0.96078,0.93878,0.95833,0.94231,0.65657,0.92157,0.97959,0.92308,0.97917
ASNS_MECP2,0.98867,0.13131,0.98214,0.86538,0.97826,0.88710,0.57576,0.94643,0.98077,0.94444,0.98148,0.57576,0.94643,0.98077,0.94444,0.98148
