Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
A0A0B4J1U3,LV136_HUMAN,IGLV1-36,Immunoglobulin lambda variable 1-36,3.05E+06,4.78E+06,1.78E+07,2.43E+06,2.66E+06,1.51E+07
A0A0B4J1U7,HV601_HUMAN,IGHV6-1,Immunoglobulin heavy variable 6-1,8.50E+07,1.53E+08,7.74E+08,7.02E+07,7.03E+07,3.37E+08
A0A0B4J1V0,HV315_HUMAN,IGHV3-15,Immunoglobulin heavy variable 3-15,3.07E+07,2.57E+07,1.85E+08,2.86E+07,5.37E+07,6.57E+07
A0A0B4J1V2,HV226_HUMAN,IGHV2-26,Immunoglobulin heavy variable 2-26,6.87E+06,9.73E+06,2.99E+07,1.36E+07,1.16E+07,9.98E+06
A0A0B4J1V6,HV373_HUMAN,IGHV3-73,Immunoglobulin heavy variable 3-73,1.70E+06,,1.36E+07,1.50E+06,3.35E+06,2.93E+06
A0A0B4J1V7,HV781_HUMAN,IGHV7-81,Probable non-functional immunoglobulin heavy variable 7-81,,19600.5,,1755.48,19669.1,
A0A0B4J1X5,HV374_HUMAN,IGHV3-74,Immunoglobulin heavy variable 3-74,4.22E+07,5.55E+07,2.51E+08,4.54E+07,9.19E+07,1.18E+08
A0A0B4J1X8,HV343_HUMAN,IGHV3-43,Immunoglobulin heavy variable 3-43,916440,1.80E+06,1.17E+06,366547,768344,213394
A0A0B4J1Y8,LV949_HUMAN,IGLV9-49,Immunoglobulin lambda variable 9-49,5.25E+06,2.43E+07,5.95E+07,9.31E+06,1.86E+06,5.41E+06
A0A0B4J1Y9,HV372_HUMAN,IGHV3-72,Immunoglobulin heavy variable 3-72,4.00E+08,6.18E+08,1.29E+09,3.50E+08,7.05E+08,6.88E+08
A0A0B4J1Z2,KVD43_HUMAN,IGKV1D-43,Immunoglobulin kappa variable 1D-43,4540.15,,,,,
A0A0B4J2D9;P0DP09,KV113_HUMAN;KVD13_HUMAN,IGKV1-13;IGKV1D-13,Immunoglobulin kappa variable 1D-13,4.21E+06,1.12E+07,6.43E+08,5.95E+06,1.56E+07,1.42E+07
A0A0B4J2H0,HV69D_HUMAN,IGHV1-69D,Immunoglobulin heavy variable 1-69D,2.53E+06,3.55E+06,1.24E+07,6.46E+06,6.76E+06,5.38E+06
A0A0C4DH24,KV621_HUMAN,IGKV6-21,Immunoglobulin kappa variable 6-21,366082,,4.04E+06,5.08E+06,5.99E+06,1.65E+06
A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,7.58E+08,2.87E+09,2.70E+09,9.80E+08,2.60E+09,1.63E+09
A0A0C4DH29,HV103_HUMAN,IGHV1-3,Immunoglobulin heavy variable 1-3,,3.16E+07,7.65E+06,2.55E+07,5.34E+07,4.49E+07
A0A0C4DH31,HV118_HUMAN,IGHV1-18,Immunoglobulin heavy variable 1-18,3.44E+07,5.45E+07,1.34E+08,3.42E+07,5.68E+07,5.97E+07
A0A0C4DH33,HV124_HUMAN,IGHV1-24,Immunoglobulin heavy variable 1-24,4.26E+06,2.06E+06,8.57E+06,1.38E+06,3.53E+06,3.57E+06
A0A0C4DH34,HV428_HUMAN,IGHV4-28,Immunoglobulin heavy variable 4-28,9.76E+07,2.21E+08,4.34E+08,1.15E+08,2.44E+08,1.17E+08
A0A0C4DH35,HV335_HUMAN,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,6.90E+06,7.73E+06,1.12E+07,7.75E+06,7.04E+06,5.22E+06
A0A0C4DH36,HV338_HUMAN,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,4.30E+06,,1.63E+07,3.56E+06,7.77E+06,1.13E+07
A0A0C4DH38,HV551_HUMAN,IGHV5-51,Immunoglobulin heavy variable 5-51,2.68E+07,5.17E+07,8.04E+07,2.12E+07,4.54E+07,4.85E+07
A0A0C4DH41;P01825,HV459_HUMAN;HV461_HUMAN,IGHV4-59;IGHV4-61,Immunoglobulin heavy variable 4-61,,,30379.3,,,
A0A0C4DH43,HV70D_HUMAN,IGHV2-70D,Immunoglobulin heavy variable 2-70D,5.80E+07,5.43E+06,1.77E+08,2.47E+06,6.96E+06,7.56E+06
A0A0C4DH67,KV108_HUMAN,IGKV1-8,Immunoglobulin kappa variable 1-8,130307,506242,444644,144634,232566,310966
A0A0C4DH72,KV106_HUMAN,IGKV1-6,Immunoglobulin kappa variable 1-6,145500,217427,495823,73710.1,235062,193152
A0A0G2JMI3,HV692_HUMAN,IGHV1-69-2,Immunoglobulin heavy variable 1-69-2,,,3.61E+06,1.48E+06,1.11E+06,921811
A0A0G2JS06,LV539_HUMAN,IGLV5-39,Immunoglobulin lambda variable 5-39,750367,497075,6.04E+06,952856,1.36E+06,1.37E+06
A0A0J9YX35,HV64D_HUMAN,IGHV3-64D,Immunoglobulin heavy variable 3-64D,3.91E+06,1.17E+07,1.82E+07,6.70E+06,9.91E+06,1.86E+07
A0A0J9YXX1,HV5X1_HUMAN,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,6.08E+06,5.22E+07,1.18E+07,6.40E+06,1.70E+08,2.67E+08
A0A0U1RRE5,NBDY_HUMAN,NBDY,Negative regulator of P-body association,529009,349291,563974,350074,220053,296912
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,3038.24,,,1237.28,,
A0A1B0GV96,CHD9N_HUMAN,CHD9NB,CHD9 neighbor protein,1.85E+06,1.33E+06,7.92E+06,572450,1.49E+06,878713
A0A1B0GWB2,PRT1B_HUMAN,PRRT1B,Proline rich transmembrane protein 1B,495026,,6.96E+06,248547,894586,
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,466939,,401490,437379,861626,435897
A0AVF1,IFT56_HUMAN,IFT56,Intraflagellar transport protein 56,11331.8,,22277.9,10263.3,19037.6,10665.4
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,6.13E+06,6.80E+06,6.24E+06,7.78E+06,6.13E+06,5.14E+06
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,638767,,323160,373465,586143,766230
A0M8Q6,IGLC7_HUMAN,IGLC7,Immunoglobulin lambda constant 7,2.07E+09,6.45E+09,1.42E+10,4.69E+09,1.07E+10,7.00E+09
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,1.51E+07,1.46E+07,1.62E+07,1.93E+07,2.32E+07,1.34E+07
A1A5D9,BICL2_HUMAN,BICDL2,BICD family-like cargo adapter 2,4336.09,,,,,
A1IGU5,ARH37_HUMAN,ARHGEF37,Rho guanine nucleotide exchange factor 37,1737.32,,3059.24,2432.12,2864.1,
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,87654.4,329888,51006.7,11245.8,,62783.7
A1L390,PKHG3_HUMAN,PLEKHG3,Pleckstrin homology domain-containing family G member 3,62325.6,,407314,130449,,205165
A1L4H1,SRCRL_HUMAN,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,29298.4,121051,76208.2,,35500,72678.3
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,4.52E+06,5.36E+06,3.25E+06,5.84E+06,3.22E+06,3.27E+06
A1Z1Q3,MACD2_HUMAN,MACROD2,ADP-ribose glycohydrolase MACROD2,53616.4,,169912,44396.1,55314.7,106317
A2PYH4,HFM1_HUMAN,HFM1,Probable ATP-dependent DNA helicase HFM1,,,5.70E+06,4.26E+06,9.27E+06,1.62E+06
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,263578,,,,,
A2RUC4,TYW5_HUMAN,TYW5,tRNA wybutosine-synthesizing protein 5,1.58E+06,2.63E+06,4.90E+06,3.42E+06,,
A2RUS2,DEND3_HUMAN,DENND3,DENN domain-containing protein 3,,,144089,104558,297706,
A2VDF0,FUCM_HUMAN,FUOM,Fucose mutarotase,,,,1258.09,4624.27,1790.72
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,,,965088,887799,1.73E+06,1.01E+06
A4D126,ISPD_HUMAN,CRPPA,D-ribitol-5-phosphate cytidylyltransferase,6918.74,,13990.2,6021.4,6244.49,6413.93
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,2.33E+06,1.92E+06,1.57E+06,1.90E+06,1.60E+06,2.41E+06
A4D1S5,RAB19_HUMAN,RAB19,Ras-related protein Rab-19,6535.41,,13866.3,12909.4,18436.2,7104.38
A4D2B0,MBLC1_HUMAN,MBLAC1,Metallo-beta-lactamase domain-containing protein 1,6826.99,,9122.96,5610.94,,11774.9
A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,251740,349693,1.97E+06,385173,395191,302829
A5PLN9,TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,12014.9,,18955.4,9767.86,14771.2,14040.5
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,2.40E+06,1.49E+06,1.06E+06,2.17E+06,2.39E+06,2.12E+06
A5YM69,ARG35_HUMAN,ARHGEF35,Rho guanine nucleotide exchange factor 35,4018.32,,,3073.12,4281.57,
A6H8M9,CDHR4_HUMAN,CDHR4,Cadherin-related family member 4,,,2683.26,,,
A6NC98,CC88B_HUMAN,CCDC88B,Coiled-coil domain-containing protein 88B,212434,,,164658,263294,
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,74034.3,,44560.2,71876.2,30532.7,73462.1
A6NDB9,PALM3_HUMAN,PALM3,Paralemmin-3,9388.95,,,,11978.2,
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,3.08E+06,7.78E+06,2.06E+06,2.51E+06,3.28E+06,2.84E+06
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,214268,,323363,269360,222630,312391
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,32897,,13258.1,34408.1,19266.2,18438.4
A6NFQ2,TCAF2_HUMAN,TCAF2,TRPM8 channel-associated factor 2,981135,,1.66E+06,784596,678912,717919
A6NHL2,TBAL3_HUMAN,TUBAL3,Tubulin alpha chain-like 3,74083.1,33218.1,75862.9,81483.2,64522.1,71284.4
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1.41E+06,,1.79E+06,1.85E+06,2.33E+06,1.88E+06
A6NHX0,CAST2_HUMAN,CASTOR2,Cytosolic arginine sensor for mTORC1 subunit 2,2498.5,,1407.22,1359.33,,3971.46
A6NI56,CC154_HUMAN,CCDC154,Coiled-coil domain-containing protein 154,152031,,,,355046,
A6NI79,CCD69_HUMAN,CCDC69,Coiled-coil domain-containing protein 69,,,11621.3,,,
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,1.03E+06,701712,1.43E+06,801477,1.02E+06,729131
A6NKN8,PC4L1_HUMAN,PCP4L1,Purkinje cell protein 4-like protein 1,9057.88,56816.7,,,,
A7KAX9,RHG32_HUMAN,ARHGAP32,Rho GTPase-activating protein 32,5414.52,,,10930,3355.79,11114.2
A8K2U0,A2ML1_HUMAN,A2ML1,Alpha-2-macroglobulin-like protein 1,9.10E+06,3.06E+07,2.20E+06,4.00E+06,3.24E+06,3.64E+06
A8K855,EFCB7_HUMAN,EFCAB7,EF-hand calcium-binding domain-containing protein 7,,,,1090.24,,
A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,1.10E+07,1.12E+07,5.54E+06,9.79E+06,1.02E+07,1.12E+07
A9UHW6,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,813928,806363,459995,497828,463347,775445
B0FP48;E5RIL1,UPK3L_HUMAN;UPKL2_HUMAN,UPK3BL1;UPK3BL2,Uroplakin-3b-like protein 1,,,,,14260.4,
B0I1T2,MYO1G_HUMAN,MYO1G,Unconventional myosin-Ig,322055,1.05E+06,267282,129076,190096,267964
B1AK53,ESPN_HUMAN,ESPN,Espin,80533.4,326779,41175,36480.6,27481.9,49461.3
B3EWG3;B3EWG5;B3EWG6,FM25A_HUMAN;FM25C_HUMAN;FM25G_HUMAN,FAM25A;FAM25C;FAM25G,Protein FAM25A,1.03E+06,2.04E+07,,2.92E+06,,1.35E+06
B7ZAP0,RBG10_HUMAN,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10",29543,,,17273,50285.7,
B7ZBB8,PP13G_HUMAN,PPP1R3G,Protein phosphatase 1 regulatory subunit 3G,80311.5,,168602,36480.5,168967,66438.7
C4AMC7;Q6VEQ5,WASH2_HUMAN;WASH3_HUMAN,WASH2P;WASH3P,Putative WAS protein family homolog 3,343953,,198101,322868,386886,366610
C9J6K1,CS081_HUMAN,C19orf81,Putative uncharacterized protein C19orf81,,,,,,1.15E+06
C9J7I0,UMAD1_HUMAN,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,545300,1.12E+06,468234,548787,335547,297869
C9JLW8,MCRI1_HUMAN,MCRIP1,Mapk-regulated corepressor-interacting protein 1,1.85E+07,,1.76E+07,2.86E+07,2.03E+07,2.16E+07
C9JQL5,DSA2D_HUMAN,,Putative dispanin subfamily A member 2d,9617.26,31094.8,21441.8,9443.85,12381.9,
CON_E1BF81,CBG_BOVIN,SERPINA6,Corticosteroid-binding globulin,902270,3.38E+06,,,,
CON_O95678;O95678,K2C75_HUMAN,KRT75,"Keratin, type II cytoskeletal 75",,,,282244,206507,249332
CON_P00711,LALBA_BOVIN,LALBA,Alpha-lactalbumin,89970.9,,108779,,81629,75729.8
CON_P00735,THRB_BOVIN,F2,Prothrombin,5.08E+06,4.81E+06,880963,,,
CON_P00978,AMBP_BOVIN,AMBP,Protein AMBP,359712,953027,,,,
CON_P01030,CO4_BOVIN,C4,Complement C4 (Fragments),5.92E+07,9.02E+07,1.93E+08,9.81E+07,1.48E+08,6.04E+07
CON_P01966,HBA_BOVIN,HBA,Hemoglobin subunit alpha,1.00E+08,1.13E+08,2.67E+07,6.74E+06,1.08E+07,1.56E+07
CON_P02070,HBB_BOVIN,HBB,Hemoglobin subunit beta,1.38E+08,8.05E+08,1.22E+07,1.38E+07,3.41E+07,1.66E+08
CON_P02533;P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14",2.78E+07,4.50E+07,3.10E+07,1.67E+07,1.71E+07,2.62E+07
CON_P02535,K1C10_MOUSE,Krt10,"Keratin, type I cytoskeletal 10",,,884288,141927,165033,
CON_P02538;P02538,K2C6A_HUMAN,KRT6A,"Keratin, type II cytoskeletal 6A",9.16E+06,3.45E+07,2.35E+07,6.11E+07,7.52E+06,3.49E+07
CON_P02662,CASA1_BOVIN,CSN1S1,Alpha-S1-casein,6.35E+06,1.90E+07,6.78E+06,2.17E+06,4.11E+06,4.37E+06
CON_P02663,CASA2_BOVIN,CSN1S2,Alpha-S2-casein,15091.9,,,,4806.41,16090.3
CON_P02666,CASB_BOVIN,CSN2,Beta-casein,413496,1.26E+06,,761531,,2.26E+06
CON_P02676,FIBB_BOVIN,FGB,Fibrinogen beta chain,3566.95,,,,,
CON_P02754,LACB_BOVIN,LGB,Beta-lactoglobulin,1.61E+06,,2.46E+06,914276,1.81E+06,1.46E+06
CON_P02768;P02768,ALBU_HUMAN,ALB,Serum albumin,5.14E+10,1.64E+11,6.76E+10,3.32E+10,6.08E+10,6.27E+10
CON_P02769,ALBU_BOVIN,ALB,Serum albumin,1.34E+09,4.81E+09,1.31E+09,4.61E+08,8.18E+08,8.65E+08
CON_P04259;P04259,K2C6B_HUMAN,KRT6B,"Keratin, type II cytoskeletal 6B",1.44E+06,4.93E+06,5.39E+06,6.50E+06,1.16E+06,6.69E+06
CON_P04264;P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1",3.83E+08,6.05E+08,4.00E+08,1.13E+08,2.11E+08,2.11E+08
CON_P05787;P05787,K2C8_HUMAN,KRT8,"Keratin, type II cytoskeletal 8",1.94E+08,1.38E+08,8.37E+07,7.40E+07,1.65E+08,1.60E+08
CON_P06868,PLMN_BOVIN,PLG,Plasminogen,558514,1.26E+06,207660,,163029,
CON_P07477;P07477,TRY1_HUMAN,PRSS1,Trypsin-1,139594,269911,,366604,342226,194743
CON_P08727;P08727,K1C19_HUMAN,KRT19,"Keratin, type I cytoskeletal 19",4.11E+08,3.09E+08,1.58E+08,2.45E+08,2.80E+08,3.37E+08
CON_P08729;P08729,K2C7_HUMAN,KRT7,"Keratin, type II cytoskeletal 7",8.60E+07,4.05E+07,1.25E+07,9.49E+06,2.48E+07,8.40E+07
CON_P08730,K1C13_MOUSE,Krt13,"Keratin, type I cytoskeletal 13",3.88E+07,3.39E+07,1.11E+07,,2.19E+07,2.79E+07
CON_P08779;P08779,K1C16_HUMAN,KRT16,"Keratin, type I cytoskeletal 16",1.74E+07,4.29E+07,2.90E+07,3.58E+07,8.41E+06,3.31E+07
CON_P12035;P12035,K2C3_HUMAN,KRT3,"Keratin, type II cytoskeletal 3",6.25E+06,2.40E+07,1.77E+07,7.86E+07,5.65E+06,3.26E+07
CON_P12763,FETUA_BOVIN,AHSG,Alpha-2-HS-glycoprotein,1.15E+08,3.61E+08,7.49E+07,2.13E+07,3.01E+07,2.85E+07
CON_P13645;P13645,K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10",3.13E+08,3.94E+08,2.43E+08,6.81E+07,1.63E+08,1.22E+08
CON_P13646;P13646,K1C13_HUMAN,KRT13,"Keratin, type I cytoskeletal 13",3.80E+07,4.50E+07,3.98E+07,1.02E+07,1.53E+07,4.90E+07
CON_P13647;P13647,K2C5_HUMAN,KRT5,"Keratin, type II cytoskeletal 5",5.06E+07,6.53E+07,3.92E+07,5.47E+07,2.28E+07,3.59E+07
CON_P15497,APOA1_BOVIN,APOA1,Apolipoprotein A-I,9.31E+07,1.34E+08,1.36E+08,5.33E+07,2.25E+08,1.44E+08
CON_P15636,API_ACHLY,,Protease 1,7.22E+08,5.82E+09,3.48E+09,1.41E+09,3.79E+09,2.60E+09
CON_P19012;P19012,K1C15_HUMAN,KRT15,"Keratin, type I cytoskeletal 15",5878.46,15353.1,,,,
CON_P19013;P19013,K2C4_HUMAN,KRT4,"Keratin, type II cytoskeletal 4",8.07E+06,9.46E+06,1.99E+06,577886,1.31E+06,8.84E+06
CON_P20930;P20930,FILA_HUMAN,FLG,Filaggrin,634833,916649,492740,346767,340812,500867
CON_P28800,A2AP_BOVIN,SERPINF2,Alpha-2-antiplasmin,1.28E+06,515530,,,,
CON_P34955,A1AT_BOVIN,SERPINA1,Alpha-1-antiproteinase,7.51E+07,1.83E+08,3.53E+07,7.80E+06,1.27E+07,1.93E+07
CON_P35527;P35527,K1C9_HUMAN,KRT9,"Keratin, type I cytoskeletal 9",1.81E+08,8.52E+08,6.06E+08,1.60E+08,2.26E+08,3.61E+08
CON_P35908;P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal",1.11E+08,2.33E+08,1.34E+08,4.33E+07,1.02E+08,5.84E+07
CON_P41361,ANT3_BOVIN,SERPINC1,Antithrombin-III,2.00E+07,3.73E+07,3.99E+07,1.26E+07,1.93E+07,3.20E+07
CON_P78386;P78386,KRT85_HUMAN,KRT85,"Keratin, type II cuticular Hb5",4.33E+06,,1.08E+07,3.48E+06,9.41E+06,1.02E+07
CON_Q01546;Q01546,K22O_HUMAN,KRT76,"Keratin, type II cytoskeletal 2 oral",1.88E+07,3.28E+07,2.11E+07,4.70E+07,1.01E+07,2.87E+07
CON_Q04695;Q04695,K1C17_HUMAN,KRT17,"Keratin, type I cytoskeletal 17",5.11E+07,7.96E+07,3.92E+07,7.31E+07,1.78E+07,4.59E+07
CON_Q05443,LUM_BOVIN,LUM,Lumican,182200,,,,,
CON_Q14CN4;Q14CN4,K2C72_HUMAN,KRT72,"Keratin, type II cytoskeletal 72",48041.5,,77291.9,,,63633.8
CON_Q15323;Q15323,K1H1_HUMAN,KRT31,"Keratin, type I cuticular Ha1",,696755,141340,267198,152307,204402
CON_Q29443,TRFE_BOVIN,TF,Serotransferrin,208846,376612,123868,86093.6,126682,
CON_Q2UVX4,CO3_BOVIN,C3,Complement C3,3.40E+06,8.67E+06,3.03E+06,1.64E+06,3.02E+06,2.25E+06
CON_Q32PJ2,APOA4_BOVIN,APOA4,Apolipoprotein A-IV,1.27E+07,2.03E+07,3.98E+07,1.47E+07,2.26E+07,2.00E+07
CON_Q3SY84;Q3SY84,K2C71_HUMAN,KRT71,"Keratin, type II cytoskeletal 71",85321,,135223,20478.7,123019,164637
CON_Q3SZ57,FETA_BOVIN,AFP,Alpha-fetoprotein,694004,2.02E+06,346223,,,254198
CON_Q3SZR3,A1AG_BOVIN,ORM1,Alpha-1-acid glycoprotein,,6.03E+06,,290848,,
CON_Q58D62,FETUB_BOVIN,FETUB,Fetuin-B,1.96E+06,5.16E+06,1.45E+06,445385,664548,538961
CON_Q5D862;Q5D862,FILA2_HUMAN,FLG2,Filaggrin-2,628313,1.70E+06,932993,343729,568843,686194
CON_Q5XKE5;Q5XKE5,K2C79_HUMAN,KRT79,"Keratin, type II cytoskeletal 79",,,291450,,249278,
CON_Q5XQN5,K2C5_BOVIN,KRT5,"Keratin, type II cytoskeletal 5",,,1.10E+06,,,
CON_Q6IFZ6,K2C1B_MOUSE,Krt77,"Keratin, type II cytoskeletal 1b",,,456904,35988.8,,
CON_Q6KB66;Q6KB66,K2C80_HUMAN,KRT80,"Keratin, type II cytoskeletal 80",3.21E+06,4.57E+06,1.51E+06,1.38E+06,1.23E+06,1.64E+06
CON_Q7Z3Y8;Q7Z3Y8,K1C27_HUMAN,KRT27,"Keratin, type I cytoskeletal 27",7356.16,,,3918.76,,10857.8
CON_Q7Z794;Q7Z794,K2C1B_HUMAN,KRT77,"Keratin, type II cytoskeletal 1b",2.80E+06,9.61E+06,4.09E+06,899705,1.62E+06,2.57E+06
CON_Q86YZ3;Q86YZ3,HORN_HUMAN,HRNR,Hornerin,2.40E+06,9.68E+06,5.82E+06,2.23E+06,3.94E+06,1.74E+06
