Biomarker_1,AUC,Num_Positive,Num_Negative,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
EMP3_KPYM,0.93555,49,57,0.16162,0.97959,0.68421,0.97500,0.72727,0.19192,0.95918,0.70175,0.95238,0.73438,0.49495,0.81633,0.89474,0.85000,0.86957
PRIO_CLIC1,0.93525,55,57,0.06061,0.98182,0.26316,0.93750,0.56250,0.22222,0.94545,0.75439,0.93478,0.78788,0.56566,0.80000,0.98246,0.83582,0.97778
HS12A_CLIC1,0.9351,52,56,0.12121,0.98077,0.57143,0.96970,0.68000,0.15152,0.96154,0.64286,0.94737,0.71429,0.39394,0.88462,0.83929,0.88679,0.83636
A4_TIMP2,0.93488,59,57,0.20202,0.96610,0.63158,0.94737,0.73077,0.22222,0.94915,0.70175,0.93023,0.76712,0.63636,0.79661,0.92982,0.81538,0.92157
KPCA_MVP,0.93474,56,55,0.15152,0.98214,0.65455,0.97297,0.74324,0.21212,0.96429,0.70909,0.95122,0.77143,0.43434,0.87500,0.85455,0.87037,0.85965
PGRC1_KPYM,0.93458,59,57,0.24242,0.98305,0.77193,0.97778,0.81690,0.24242,0.98305,0.77193,0.97778,0.81690,0.24242,0.98305,0.77193,0.97778,0.81690
AL1L1_MVP,0.93437,54,57,0.09091,0.98148,0.47368,0.96429,0.63855,0.09091,0.98148,0.47368,0.96429,0.63855,0.58586,0.81481,0.94737,0.84375,0.93617
PXL2A_KPYM,0.93421,57,56,0.11111,0.98246,0.60714,0.97143,0.71795,0.27273,0.94737,0.71429,0.93023,0.77143,0.60606,0.84211,0.87500,0.84483,0.87273
IMA1_CLIC1,0.93404,57,50,0.0303,0.98246,0.24000,0.92308,0.59574,0.15152,0.94737,0.48000,0.88889,0.67500,0.56566,0.85965,0.92000,0.85185,0.92453
PGS2_MVP,0.93369,59,57,0.19192,0.96610,0.66667,0.95000,0.75000,0.23232,0.94915,0.70175,0.93023,0.76712,0.42424,0.84746,0.92982,0.85484,0.92593
EHD2_KPYM,0.93369,59,57,0.12121,0.96610,0.54386,0.93939,0.68675,0.14141,0.94915,0.56140,0.91429,0.69136,0.53535,0.84746,0.96491,0.85938,0.96154
CD81_KPYM,0.93357,52,55,0.0404,0.98077,0.27273,0.93750,0.56044,0.17172,0.96154,0.67273,0.94872,0.73529,0.30303,0.94231,0.83636,0.93878,0.84483
CDN2C_CLIC1,0.93295,53,56,0.05051,0.98113,0.32143,0.94737,0.57778,0.10101,0.96226,0.50000,0.93333,0.64557,0.51515,0.86792,0.91071,0.87931,0.90196
HMGN4_KPYM,0.93174,55,57,0.25253,1.00000,0.73684,1.00000,0.78571,0.28283,0.96364,0.77193,0.95652,0.80303,0.25253,1.00000,0.73684,1.00000,0.78571
CYBR1_KPYM,0.93131,59,57,0.20202,0.96610,0.63158,0.94737,0.73077,0.27273,0.94915,0.73684,0.93333,0.78873,0.37374,0.91525,0.87719,0.90909,0.88525
TM109_CLIC1,0.93029,52,56,0.11111,0.98077,0.60714,0.97143,0.69863,0.23232,0.96154,0.71429,0.95238,0.75758,0.32323,0.92308,0.82143,0.92000,0.82759
CD248_KPYM,0.92953,59,57,0.12121,1.00000,0.56140,1.00000,0.70238,0.12121,1.00000,0.56140,1.00000,0.70238,0.73737,0.74576,1.00000,0.79167,1.00000
RFTN1_KPYM,0.92949,52,57,0.0303,0.98077,0.24561,0.93333,0.54255,0.12121,0.96154,0.59649,0.94444,0.68493,0.69697,0.80769,0.98246,0.84848,0.97674
ERLN2_KPYM,0.92862,55,54,0.21212,0.98182,0.62963,0.97143,0.72973,0.24242,0.94545,0.70370,0.92683,0.76471,0.43434,0.83636,0.88889,0.84211,0.88462
KANK2_CLIC1,0.92825,56,56,0.10101,0.98214,0.44643,0.96154,0.63953,0.19192,0.94643,0.71429,0.93023,0.76812,0.59596,0.82143,0.92857,0.83871,0.92000
PDE5A_CLIC1,0.92694,55,55,0.08081,0.98182,0.41818,0.95833,0.62791,0.22222,0.96364,0.74545,0.95349,0.79104,0.22222,0.96364,0.74545,0.95349,0.79104
CDK6_KPYM,0.92666,56,56,0.0303,0.98214,0.17857,0.90909,0.54455,0.16162,0.94643,0.58929,0.91667,0.69737,0.49495,0.85714,0.89286,0.86207,0.88889
CNRP1_KPYM,0.92566,59,57,0.06061,0.96610,0.15789,0.81818,0.54286,0.11111,0.94915,0.47368,0.90000,0.65116,0.45455,0.88136,0.94737,0.88525,0.94545
EHD2_CLIC1,0.92566,59,57,0.09091,0.96610,0.40351,0.92000,0.62637,0.11111,0.94915,0.45614,0.89655,0.64368,0.58586,0.86441,0.94737,0.87097,0.94444
RET7_CLIC1,0.92476,52,57,0.15152,0.98077,0.61404,0.97222,0.69863,0.19192,0.96154,0.68421,0.95122,0.73529,0.50505,0.84615,0.91228,0.86667,0.89796
OLFL3_KPYM,0.92464,59,56,0.19192,0.96610,0.64286,0.94737,0.74026,0.19192,0.96610,0.64286,0.94737,0.74026,0.44444,0.86441,0.82143,0.85185,0.83607
ASNS_TIMP2,0.92445,56,52,0.10101,0.98214,0.48077,0.96154,0.67073,0.20202,0.94643,0.57692,0.90909,0.70667,0.49495,0.83929,0.84615,0.83019,0.85455
CAVN1_KPYM,0.92435,55,56,0.08081,0.98182,0.39286,0.95652,0.61364,0.11111,0.96364,0.42857,0.92308,0.62353,0.55556,0.80000,0.96429,0.83077,0.95652
PGS2_AGRIN,0.92417,59,57,0.16162,0.96610,0.56140,0.94118,0.69512,0.17172,0.94915,0.57895,0.91667,0.70000,0.40404,0.86441,0.87719,0.86207,0.87931
COIA1_TIMP2,0.92417,59,57,0.26263,0.96610,0.70175,0.95238,0.77027,0.26263,0.96610,0.70175,0.95238,0.77027,0.59596,0.79661,0.89474,0.80952,0.88679
AKA12_CLIC1,0.92299,59,57,0.20202,0.96610,0.64912,0.94872,0.74026,0.22222,0.94915,0.68421,0.92857,0.75676,0.47475,0.83051,0.87719,0.83333,0.87500
PTPRF_TIMP2,0.92269,59,57,0.16162,0.96610,0.56140,0.94118,0.69512,0.22222,0.94915,0.66667,0.92683,0.74667,0.55556,0.83051,0.89474,0.83607,0.89091
CNRP1_CLIC1,0.92239,59,57,0.13131,0.96610,0.50877,0.93548,0.67059,0.15152,0.94915,0.59649,0.91892,0.70886,0.49495,0.84746,0.92982,0.85484,0.92593
CYBR1_CLIC1,0.92061,59,57,0.13131,0.96610,0.49123,0.93333,0.66279,0.18182,0.94915,0.63158,0.92308,0.72727,0.71717,0.76271,0.96491,0.79710,0.95745
PGFRB_KPYM,0.91981,56,55,0.0404,0.98214,0.12727,0.87500,0.53398,0.09091,0.94643,0.38182,0.87500,0.60920,0.56566,0.83929,0.94545,0.85246,0.94000
LRP1_KPYM,0.91942,59,57,0.08081,0.96610,0.29825,0.89474,0.58763,0.26263,0.94915,0.64912,0.92500,0.73684,0.52525,0.81356,0.92982,0.82812,0.92308
NECT4_TIMP2,0.91838,54,54,0.08081,0.98148,0.33333,0.94737,0.59551,0.09091,0.96296,0.35185,0.90476,0.59770,0.46465,0.83333,0.88889,0.84211,0.88235
KANK2_MVP,0.91837,56,56,0.09091,1.00000,0.37500,1.00000,0.61538,0.16162,0.94643,0.50000,0.90323,0.65432,0.58586,0.80357,0.94643,0.82812,0.93750
PGRC1_CLIC1,0.91823,59,57,0.18182,0.98305,0.64912,0.97368,0.74359,0.19192,0.94915,0.66667,0.92683,0.74667,0.45455,0.88136,0.80702,0.86792,0.82540
CLIC2_MVP,0.91773,58,57,0.12121,0.96552,0.42105,0.92308,0.62921,0.16162,0.94828,0.45614,0.89655,0.63953,0.32323,0.91379,0.80702,0.90196,0.82812
FKBP7_CLIC1,0.917,54,56,0.14141,0.98148,0.50000,0.96552,0.65432,0.18182,0.96296,0.62500,0.94595,0.71233,0.29293,0.92593,0.80357,0.91837,0.81967
EGLN_KPYM,0.91644,59,57,0.13131,0.96610,0.43860,0.92593,0.64045,0.18182,0.94915,0.56140,0.91429,0.69136,0.65657,0.77966,0.98246,0.81159,0.97872
FHL1_CLIC1,0.91614,56,56,0.5,0.00000,0.00000,0.00000,0.00000,0.22222,0.94643,0.67857,0.92683,0.74648,0.35354,0.87500,0.85714,0.87273,0.85965
PGM5_KPYM,0.91544,50,57,0.5,0.00000,0.00000,0.00000,0.00000,0.08081,0.96000,0.33333,0.90476,0.55814,0.53535,0.80000,0.92982,0.84127,0.90909
HS12A_MVP,0.91415,52,56,0.13131,0.98077,0.44643,0.96154,0.62195,0.14141,0.96154,0.46429,0.92857,0.62500,0.48485,0.82692,0.89286,0.84746,0.87755
NEP_CLIC1,0.91333,50,54,0.07071,0.98000,0.33333,0.94737,0.57647,0.15152,0.96000,0.62963,0.94444,0.70588,0.32323,0.92000,0.85185,0.92000,0.85185
EPDR1_AGRIN,0.91295,56,56,0.16162,0.98214,0.50000,0.96552,0.66265,0.25253,0.94643,0.71429,0.93023,0.76812,0.61616,0.76786,0.94643,0.80303,0.93478
MD2L1_TIMP2,0.91263,56,56,0.0404,0.98214,0.30357,0.94444,0.58511,0.07071,0.96429,0.41071,0.92000,0.62069,0.45455,0.89286,0.82143,0.88462,0.83333
IDI1_TIMP2,0.91164,57,55,0.11111,0.98246,0.43636,0.96000,0.64368,0.16162,0.94737,0.50909,0.90323,0.66667,0.69697,0.71930,0.98182,0.77143,0.97619
PXL2A_MVP,0.91134,57,56,0.11111,1.00000,0.44643,1.00000,0.64773,0.16162,0.96491,0.57143,0.94118,0.69620,0.68687,0.70175,0.92857,0.75362,0.90909
CD81_AGRIN,0.91119,52,55,0.14141,0.98077,0.56364,0.96875,0.68000,0.16162,0.96154,0.61818,0.94444,0.70423,0.60606,0.75000,0.94545,0.80000,0.92857
NB5R3_KPYM,0.91109,59,57,0.15152,0.96610,0.54386,0.93939,0.68675,0.15152,0.96610,0.54386,0.93939,0.68675,0.48485,0.86441,0.84211,0.85714,0.85000
HMGN4_CLIC1,0.911,55,57,0.20202,0.98182,0.59649,0.97143,0.70130,0.21212,0.96364,0.61404,0.94595,0.70667,0.50505,0.81818,0.87719,0.83333,0.86538
AL1L1_AGRIN,0.91098,54,57,0.11111,0.98148,0.49123,0.96552,0.64634,0.19192,0.96296,0.61404,0.94595,0.70270,0.47475,0.81481,0.85965,0.83051,0.84615
PCD16_KPYM,0.91098,54,57,0.15152,0.98148,0.52632,0.96774,0.66250,0.19192,0.96296,0.59649,0.94444,0.69333,0.66667,0.74074,0.98246,0.80000,0.97561
TMM43_CLIC1,0.91055,50,55,0.12121,0.98000,0.41818,0.95833,0.60494,0.20202,0.96000,0.63636,0.94595,0.70588,0.45455,0.86000,0.85455,0.87037,0.84314
CNRP1_MVP,0.9102,59,57,0.05051,0.96610,0.14035,0.80000,0.53774,0.07071,0.94915,0.22807,0.81250,0.56000,0.59596,0.77966,0.96491,0.80882,0.95833
AL1A1_MVP,0.9096,59,57,0.18182,0.96610,0.50877,0.93548,0.67059,0.21212,0.94915,0.54386,0.91176,0.68293,0.56566,0.79661,0.92982,0.81538,0.92157
EMP3_CLIC1,0.90906,49,57,0.13131,0.97959,0.54386,0.96875,0.64865,0.15152,0.95918,0.57895,0.94286,0.66197,0.37374,0.85714,0.82456,0.87037,0.80769
EGLN_CLIC1,0.90901,59,57,0.07071,0.98305,0.26316,0.93750,0.58000,0.07071,0.98305,0.26316,0.93750,0.58000,0.60606,0.79661,0.96491,0.82090,0.95918
SMC2_TIMP2,0.90857,56,50,0.05051,0.98214,0.30000,0.93750,0.61111,0.29293,0.94643,0.60000,0.90909,0.72603,0.46465,0.89286,0.82000,0.87234,0.84746
H2B1J;H2B2E_TIMP2,0.90852,57,56,0.0404,1.00000,0.17857,1.00000,0.55340,0.24242,0.94737,0.66071,0.92500,0.73973,0.60606,0.77193,0.92857,0.80000,0.91667
FHL1_MVP,0.90848,56,56,0.5,0.00000,0.00000,0.00000,0.00000,0.21212,0.94643,0.55357,0.91176,0.67949,0.54545,0.76786,0.92857,0.80000,0.91489
IMA1_TIMP2,0.90842,57,50,0.10101,0.98246,0.36000,0.94737,0.63636,0.18182,0.94737,0.44000,0.88000,0.65854,0.70707,0.73684,0.98000,0.76562,0.97674
CYBR1_AGRIN,0.90812,59,57,0.13131,1.00000,0.40351,1.00000,0.63441,0.21212,0.94915,0.57895,0.91667,0.70000,0.47475,0.81356,0.89474,0.82258,0.88889
CD248_CLIC1,0.90812,59,57,0.20202,0.96610,0.66667,0.95000,0.75000,0.20202,0.96610,0.66667,0.95000,0.75000,0.53535,0.79661,0.87719,0.80645,0.87037
PRIO_MVP,0.90781,55,57,0.11111,0.98182,0.36842,0.95455,0.60000,0.16162,0.94545,0.45614,0.89655,0.62651,0.43434,0.85455,0.89474,0.86441,0.88679
RECK_KPYM,0.90773,54,57,0.5,0.00000,0.00000,0.00000,0.00000,0.09091,0.96296,0.17544,0.83333,0.52525,0.42424,0.85185,0.92982,0.86885,0.92000
MIME_KPYM,0.90723,59,57,0.15152,0.96610,0.45614,0.92857,0.64773,0.16162,0.94915,0.54386,0.91176,0.68293,0.49495,0.83051,0.91228,0.83871,0.90741
TENS1_KPYM,0.90708,59,56,0.0303,0.98305,0.03571,0.66667,0.51786,0.18182,0.94915,0.55357,0.91176,0.69136,0.61616,0.79661,0.98214,0.82090,0.97917
HSPB6_KPYM,0.90674,57,57,0.12121,0.98246,0.31579,0.94737,0.58947,0.15152,0.94737,0.50877,0.90625,0.65854,0.36364,0.87719,0.78947,0.86538,0.80645
KAP3_MVP,0.90635,53,55,0.08081,1.00000,0.36364,1.00000,0.60227,0.12121,0.96226,0.43636,0.92308,0.62195,0.52525,0.79245,0.94545,0.82540,0.93333
VINEX_MVP,0.90617,53,55,0.18182,0.98113,0.52727,0.96667,0.66667,0.19192,0.96226,0.56364,0.93939,0.68000,0.44444,0.83019,0.81818,0.83333,0.81481
OLFL3_CLIC1,0.90587,59,56,0.17172,0.96610,0.50000,0.93333,0.67059,0.19192,0.94915,0.53571,0.90909,0.68293,0.47475,0.83051,0.83929,0.82456,0.84483
PXL2A_CLIC1,0.9057,57,56,0.14141,0.98246,0.58929,0.97059,0.70886,0.24242,0.94737,0.62500,0.92105,0.72000,0.60606,0.78947,0.91071,0.80952,0.90000
SUCB1_CLIC1,0.90559,52,55,0.0303,0.98077,0.10909,0.85714,0.51000,0.10101,0.96154,0.36364,0.90909,0.58824,0.37374,0.92308,0.80000,0.91667,0.81356
MYLK_CLIC1,0.90548,58,56,0.0101,0.98276,0.01786,0.50000,0.50893,0.15152,0.94828,0.35714,0.86957,0.60440,0.53535,0.84483,0.91071,0.85000,0.90741
HS12A_AGRIN,0.90453,52,56,0.15152,0.98077,0.60714,0.97143,0.69863,0.17172,0.96154,0.62500,0.94595,0.70423,0.37374,0.86538,0.76786,0.86000,0.77586
ERMP1_CLIC1,0.90404,54,55,0.09091,0.98148,0.30909,0.94444,0.58242,0.09091,0.98148,0.30909,0.94444,0.58242,0.60606,0.77778,0.92727,0.80952,0.91304
TMM43_MVP,0.90364,50,55,0.10101,1.00000,0.40000,1.00000,0.60241,0.20202,0.96000,0.54545,0.93750,0.65753,0.45455,0.76000,0.90909,0.80645,0.88372
RFTN1_CLIC1,0.90351,52,57,0.09091,0.98077,0.36842,0.95455,0.58621,0.11111,0.96154,0.38596,0.91667,0.58824,0.56566,0.80769,0.94737,0.84375,0.93333
PRIO_MMP9,0.90303,55,57,0.18182,0.98182,0.56140,0.96970,0.68354,0.23232,0.94545,0.64912,0.92500,0.72222,0.52525,0.81818,0.84211,0.82759,0.83333
ACACA_TIMP2,0.90303,55,51,0.0404,0.98182,0.25490,0.92857,0.58696,0.33333,0.94545,0.68627,0.92105,0.76471,0.41414,0.90909,0.72549,0.88095,0.78125
ESRP1_TIMP2,0.90295,54,54,0.05051,0.98148,0.22222,0.92308,0.55789,0.05051,0.98148,0.22222,0.92308,0.55789,0.58586,0.83333,0.88889,0.84211,0.88235
TM109_MVP,0.90282,52,56,0.10101,0.98077,0.37500,0.95455,0.59302,0.13131,0.96154,0.41071,0.92000,0.60241,0.57576,0.75000,0.92857,0.80000,0.90698
COEA1_KPYM,0.90254,59,56,0.19192,0.96610,0.53571,0.93750,0.68675,0.20202,0.94915,0.55357,0.91176,0.69136,0.60606,0.72881,0.92857,0.76471,0.91489
ASNS_CLIC1,0.90213,56,52,0.13131,0.98214,0.32692,0.94444,0.61111,0.18182,0.94643,0.44231,0.88462,0.64634,0.60606,0.76786,0.94231,0.79032,0.93478
PGM5_CLIC1,0.90175,50,57,0.0101,0.98000,0.01754,0.50000,0.46667,0.0303,0.96000,0.07018,0.66667,0.47525,0.64646,0.74000,0.98246,0.81159,0.97368
KPCA_AGRIN,0.9013,56,55,0.11111,0.98214,0.38182,0.95455,0.61798,0.28283,0.94643,0.72727,0.93023,0.77941,0.42424,0.83929,0.83636,0.83636,0.83929
CAVN1_CLIC1,0.9013,55,56,0.08081,0.98182,0.26786,0.93750,0.56842,0.11111,0.94545,0.39286,0.88000,0.60465,0.40404,0.87273,0.85714,0.87273,0.85714
BI2L1_TIMP2,0.90084,55,54,0.08081,0.98182,0.33333,0.94737,0.60000,0.14141,0.94545,0.46296,0.89286,0.64198,0.76768,0.65455,1.00000,0.73973,1.00000
